condition,food,warning,explanation
Hypertension,Sussages,safe,Sussages may support balanced diet for hypertension.
Prediabetes,butter,dangerous,butter is high in fat/sugar and may worsen prediabetes.
allergic reactions,rice,dangerous,Allergen Glb33 is an important allergen in rice that can cause allergic reactions such as asthma and atopic dermatitis.
hyperuricaemia,sucrose,dangerous,"In addition to sucrose and high fructose corn syrup, fresh fruits also contain fructose, suggesting that patients with hyperuricaemia or gout might also avoid fresh fruit."
asthma,flour,dangerous,Asthma could be induced by inhaled flour or by exposure to allergens present in bakery products.
asthma,fish oil,safe,"Maternal dietary interventions during pregnancy with fish oil and high dose vitamin D have been shown to reduce the incidence of asthma and wheeze in offspring, potentially through microbial effects in pregnancy or early childhood."
bmd,inadequate diet,safe,"Inadequate diet, which may occur in depressed individuals prescribed SSRIs is also associated with decreased BMD."
colorectal cancer,garlic supplements,safe,"Laboratory studies have provided evidence that allium vegetables and garlic supplements might protect against colorectal cancer (CRC), but epidemiologic studies have produced inconsistent findings."
myocardial infarction,extra virgin olive oil,safe,"In this context, extra virgin olive oil (EVOO), the most representative component of this diet, seems to be relevant in lowering the incidence of cardiovascular events, including myocardial infarction and stroke."
vascular disease,extra-virgin olive oil,safe,"The authors base their hypothesis on meta-analyses of epidemiological data, numerous experimental studies, and a comprehensive review of the mechanisms of action of extra-virgin olive oil and its components in the prevention of vascular disease."
allergic reactions,walnut,dangerous,"Jug r 1, the major allergen of walnut, triggers severe allergic reactions through epitopes."
diabetes,beans,safe,Vegetables and beans are nutrient-dense foods with innate potential to mediate diabetes in a variety of cultures.
breast and colon cancers,extra-virgin olive oil,safe,"Epidemiological and clinical studies compellingly documented the ability of Mediterranean diet rich in extra-virgin olive oil (EVOO) to reduce breast and colon cancers incidence, cardiovascular diseases, and aging cognitive functions decline."
hypercholesterolemia,diet,dangerous,"Hypercholesterolemia, also called high cholesterol, is a form of hyperlipidemia, which may be a consequence of diet, obesity or diabetes."
malignancies,extra-virgin olive oil,safe,"Epidemiological studies have compellingly documented the ability of the Mediterranean diet rich in extra-virgin olive oil to reduce the incidence of certain malignancies, and cardiovascular diseases, and slow the Alzheimer's disease progression."
cutis laxa,drugs,dangerous,"In most cases, acquired cutis laxa is associated with neoplasms, drugs, and autoimmune diseases."
ad,olive oil,safe,"It has been previously demonstrated that daily intake of hydroxytyrosol (HT), a polyphenol in olive oil, at a daily dietary level mildly improves cognition in AD mice."
asthma,honey-bee pollen mix (hbm),safe,"Honey-bee pollen mix (HBM) formulation is claimed to be effective for the treatment of asthma, bronchitis, cancers, peptic ulcers, colitis, various types of infections including hepatitis B, and rheumatism by the herb dealers in northeast Turkey."
human diseases,extra virgin olive oil,safe,"Among the phenolic compounds extracted from extra virgin olive oil, oleocanthal (1) has attracted considerable attention in the modulation of many human diseases, such as inflammation and Alzheimer's disease (AD)."
"cardiovascular, neurodegenerative",docosahexaenoic acid,safe,"Omega-3 fatty acids (ÃÂÃÂÃÂÃÂ-3FAs) such as Docosahexaenoic acid (DHA) and Eicosapentanoic acid (EPA), are active ingredient of fish oil, which have larger health benefits against various diseases including cardiovascular, neurodegenerative, cancers and bone diseases."
Hypertension,Ice Cream,can worsen,Ice Cream with serving size 130.0g recorded in NHANES dietary data for Hypertension and Prediabetes patients.
Prediabetes,beet greens/collards/cress/romaine/greens/spinach,safe,beet greens/collards/cress/romaine/greens/spinach may support balanced diet for prediabetes.
cognitive decline,olive oil,safe,"In the French Three-City Study, a ten-year follow-up (2000-2010) showed that higher consumption of olive oil was associated with lower risk of death, as well as protection from cognitive decline and stroke."
osteoporosis,mollusks,safe,"In vitro cell cultures and in vivo animal osteoporosis models have demonstrated the potential for seafood-derived SBPs, including fish, mollusks, crustaceans, seaweed and microalgae, in preventing osteoporosis."
coronary disease,cereal,safe,"The soluble dietary fiber (1-3)(1-4) mixed linked ÃÂÃÂÃÂÃÂ²-D-glucan from cereal grains is a valuable component of a healthy diet, which reduces risks of coronary disease and diabetes."
allergic,cabbage,safe,"Quercetin is the major polyphenolic flavonoid found in food products, including berries, apples, cauliflower, tea, cabbage, nuts, and onions that have traditionally been treated as anticancer and antiviral, and used for the treatment of allergic, metabolic, and inflammatory disorders, eye and cardiovascular diseases, and arthritis."
vd,tea,safe,"A high educational level, a vegetable-based diet, and tea were protective factors for VD."
Hypertension,egg,safe,egg may support balanced diet for hypertension.
myocardial infarction,extra virgin olive oil,safe,"In this context, extra virgin olive oil (EVOO), the most representative component of this diet, seems to be relevant in lowering the incidence of cardiovascular events, including myocardial infarction and stroke."
osteoporosis,olive oil consumption,safe,Rates of osteoporosis are significantly lower in regions of the world where olive oil consumption is a dietary cornerstone.
osteopenia,alcoholics,dangerous,Osteopenia or osteoporosis occurs frequently in alcoholics and patients with alcoholic fatty liver disease.
Hypertension,egg omelet,can worsen,egg omelet with serving size 61.0g recorded in NHANES dietary data for Hypertension and Prediabetes patients.
Hypertension,Pancakes/waffles,safe,Pancakes/waffles may support balanced diet for hypertension.
Hypertension,frozen meal (containing meat and vegetables),can worsen,frozen meal (containing meat and vegetables) with serving size 312.0g recorded in NHANES dietary data for Hypertension and Prediabetes patients.
Hypertension,raw apple/apricot/avocado/banana/cantaloupe/cherries/fig/grapes/mango/pear/pineapple/,can worsen,raw apple/apricot/avocado/banana/cantaloupe/cherries/fig/grapes/mango/pear/pineapple/ with serving size 182.0g recorded in NHANES dietary data for Hypertension and Prediabetes patients.
allergy,cow's milk protein,dangerous,"Cow's milk protein allergy, which occurs in approximately 5-10% of the population of infants and children, has become an important public food safety problem."
Hypertension,Chicken/Turkey,can worsen,Chicken/Turkey with serving size 110.0g recorded in NHANES dietary data for Hypertension and Prediabetes patients.
obesity,poor diet,dangerous,"Poor diet is responsible for more deaths worldwide than any other risk factor, and is a leading cause of obesity, type 2 diabetes, and cardiovascular disease (CVD)."
diabetic,cocoa,safe,Epidemiological and animal studies suggest that cocoa might reduce the risk of diabetic complications.
brain disorders,beer,safe,"Beer, as part of this protective diet, contains compounds such as silicon and hops that could play a major role in preventing brain disorders."
baker's asthma,wheat,dangerous,"Wheat is a potent allergen source and is one of the causes of baker's asthma, food and pollen allergy."
asthmatic reactions,flour,dangerous,"Bronchial provocation tests by ""occupational"" exposure to flour provoked dual asthmatic reactions accompanied by rhinitis in two atopic bakers engaged in the manufacture of bread and pies."
Hypertension,frozen meal (containing meat and vegetables),safe,frozen meal (containing meat and vegetables) is nutritious and may help manage hypertension.
neural tube defects,fb1-contaminated corn,dangerous,A relationship between maternal ingestion of FB1-contaminated corn during early pregnancy and increased risk for neural tube defects (NTDs) has recently been proposed in human populations around the world where corn is a dietary staple.
neurodegenerative diseases,licorice,safe,"Extensive research over the last 10 years has indicated that nutraceuticals derived from such spices as turmeric, red pepper, black pepper, licorice, clove, ginger, garlic, coriander, and cinnamon target inflammatory pathways, thereby may prevent neurodegenerative diseases."
hypertension,salt,dangerous,"Excessive salt intake is an important risk factor of diseases such as hypertension, stroke, and stomach cancer."
diet- associated health diseases,salt,dangerous,"In terms of nutrition, a diet high in fat (particularly saturated fat), salt and sugars have shown to be associated with innumerable incidence of diet- associated health diseases."
Prediabetes,frozen meal (containing meat and vegetables),safe,frozen meal (containing meat and vegetables) is nutritious and may help manage prediabetes.
Hypertension,Bread,safe,Bread may support balanced diet for hypertension.
Hypertension,frozen meal (containing meat and vegetables),can worsen,frozen meal (containing meat and vegetables) with serving size 312.0g recorded in NHANES dietary data for Hypertension and Prediabetes patients.
Hypertension,Cereal,can worsen,Cereal with serving size 55.0g recorded in NHANES dietary data for Hypertension and Prediabetes patients.
Prediabetes,salad dressing,safe,salad dressing is nutritious and may help manage prediabetes.
myxomatous mitral valve disease,fish oil,safe,"A cardiac protection blend (CPB) of nutrients including medium chain triglycerides, fish oil and other key nutrients was developed to slow the progression of canine myxomatous mitral valve disease (MMVD)."
epilepsy,antiepileptic drugs,dangerous,Adults aged 50 years and older with epilepsy face an increased risk of fracture associated both with age and with the use of antiepileptic drugs.
diabetes,leaves and fruits of rhus coriaria,safe,The leaves and fruits of Rhus coriaria are traditionally used in Turkey for the treatment of diabetes.
Hypertension,Crackers,safe,Crackers may support balanced diet for hypertension.
obesity,cinnamon,safe,"Other structurally homologous nutraceuticals, derived from red chili, cinnamon, cloves, black pepper, and ginger, also exhibit effects against obesity and insulin resistance."
hip fracture,milk,safe,"However, there is also evidence of a detrimental effect of milk on the risk of hip fracture."
peripheral vascular disease,ginkgo biloba,safe,"The extract from Ginkgo biloba leaves has become a very popular plant medicine and herbal supplement for its potential benefit in alleviating symptoms associated with peripheral vascular disease, dementia, asthma and tinnitus."
Prediabetes,egg,safe,egg may support balanced diet for prediabetes.
rhinitis,wheat flour,dangerous,Sensitization to inhaled wheat flour may lead to occupational rhinitis and/or asthma.
ailments,oil tea,safe,Oil tea has traditionally been used in minority populations in China for treating various ailments in traditional Chinese medicine.
inflammation,mediterranean diet,safe,A Mediterranean diet (MeDi) style has been reported as associated with a lower degree of inflammation biomarkers and with a protective role on cardiovascular and cerebrovascular events.
Prediabetes,Biscuits,safe,Biscuits may support balanced diet for prediabetes.
asthma,saffron,safe,Saffron has anti-inflammatory effects and may has beneficial effects on asthma.
allergic reactions,pistachio,dangerous,"Pistachio and cashew nut, which belong to the same botanical family, are tree nuts that induce serious allergic reactions."
ad,olive oil,safe,"It has been previously demonstrated that daily intake of hydroxytyrosol (HT), a polyphenol in olive oil, at a daily dietary level mildly improves cognition in AD mice."
neurodegenerative diseases,curcuma longa,safe,"Therefore, novel therapeutic strategies have long been investigated, where curcumin (Curcuma longa) has shown some properties that can prevent the deleterious processes involved in neurodegenerative diseases."
rheumatoid arthritis,curcuma longa,safe,Curcuma longa (CL) or turmeric is an Ayurvedic herb that has been traditionally used to treat inflammatory conditions like rheumatoid arthritis (RA).
Prediabetes,puerto rican style food,can worsen,puerto rican style food with serving size 250.0g recorded in NHANES dietary data for Hypertension and Prediabetes patients.
caries,sugar,dangerous,"Many diseases, including caries, chronic inflammatory diseases, diabetes, and obesity, are associated with uncontrolled sugar consumption."
hypertension,whey protein (wp),safe,"Besides their nutritional value, whey protein (WP) peptides are food components retaining important pharmacological properties for controlling hypertension."
cough,ginkgo biloba,safe,"Ginkgo biloba has long been used in ancient China for the treatment of cough, asthma, and other lung diseases."
cvds,blueberry,safe,"Moreover, substantial experimental studies have supported the protective role of fruits against CVDs, and several fruits (grape, blueberry, pomegranate, apple, hawthorn, and avocado) have been widely studied and have shown potent cardiovascular protective action."
cancers,olive oil,safe,"Traditional Mediterranean Diet (MD) is associated by the low-prevalence of certain types of cancers and CVDs, where olive oil plays an important role."
iron-deficiency anemia,iron fortifiers in diets,safe,"Iron-deficiency anemia is an important health problem in global public issues, and development of iron fortifiers in diets is essential for the decrease of iron deficiency."
chronic diseases,beans,safe,Beans can contribute to a food-first approach to healthy aging as they are nutrient-dense and can reduce the risk of chronic diseases.
hypertension,apium graveolens,safe,"Apium graveolens L. is a traditional Chinese medicine prescribed as a treatment for hypertension, gout, and diabetes."
micronutrient deficiencies,rice fortification,safe,Rice fortification with vitamins and minerals has the potential to increase the nutrition in rice-consuming countries where micronutrient deficiencies exist.
Prediabetes,Cheese,safe,Cheese may support balanced diet for prediabetes.
human diseases,extra virgin olive oil,safe,"Among the phenolic compounds extracted from extra virgin olive oil, oleocanthal (1) has attracted considerable attention in the modulation of many human diseases, such as inflammation and Alzheimer's disease (AD)."
hip fracture,milk,safe,"However, there is also evidence of a detrimental effect of milk on the risk of hip fracture."
asthma,lamb,dangerous,"In China, lamb and fish are well-known triggers for an asthma attack."
Prediabetes,Stew (meat/rice/vegetable),safe,Stew (meat/rice/vegetable) is nutritious and may help manage prediabetes.
diet- associated health diseases,salt,dangerous,"In terms of nutrition, a diet high in fat (particularly saturated fat), salt and sugars have shown to be associated with innumerable incidence of diet- associated health diseases."
cognitive impairment,milk,safe,Milk and other dairy products may contribute to the prevention of physical and cognitive impairment.
inflammation,beer,safe,"We previously demonstrated that the consumption of iso-ÃÂÃÂÃÂÃÂ±-acids (IAA), the hop-derived bitter compounds in beer, prevents inflammation and Alzheimer's disease pathology in model mice."
chronic diseases,coffee consumption,safe,"Coffee consumption has been associated with a significant decrease in the risk of developing chronic diseases such as Parkinson disease, diabetes type-2 and several types of cancers (e.g. colon, liver)."
ischemic heart disease,fish,safe,"The low mortality rates from ischemic heart disease and cancer are thought to reflect the low prevalence of obesity in Japan; low intake of red meat, specifically saturated fatty acids; and high intakes of fish, specifically n-3 polyunsaturated fatty acids, plant foods such as soybeans, and nonsugar-sweetened beverages such as green tea."
hypoxia,brassica rapa,safe,"The Tibetan turnip (Brassica rapa L.) has a wide array of medicine properties including heat-clearing, detoxifying and anti-hypoxia as listed in the famous centuries-old Tibetan medicine classic ""The Four Medical Tantras""."
calcium oxalate urolithiasis,salt,dangerous,Dietary excesses in animal protein and/or salt have been implicated as risk factors in calcium oxalate urolithiasis.
cvd,cheese,safe,"In subgroup analysis, cheese and yogurt consumptions were associated with decreased CVD risk (OR = 0.87, 95% CI = 0.80-0.94 for cheese and OR = 0."
bone loss,milk,safe,Milk and milk products prevent the bone loss in pre- and postmenopausal women.
skin inflammation,fish oil,safe,Nutritional supplementation with fish oil or ÃÂÃÂÃÂÃÂ-3 (n-3) polyunsaturated fatty acids (PUFAs) has potential benefits for skin inflammation.
chronic kidney disease,sodium,dangerous,"Current dietary guidelines recommend that patients with chronic kidney disease (CKD) restrict individual nutrients, such as sodium, potassium, phosphorus, and protein."
sci,mediterranean diet,safe,"The Mediterranean diet, along with exercise and dietary supplements, has been suggested as an anti-inflammatory intervention in individuals with SCI."
Hypertension,Pancakes/waffles,can worsen,Pancakes/waffles with serving size 140.0g recorded in NHANES dietary data for Hypertension and Prediabetes patients.
Hypertension,Beans,can worsen,Beans with serving size 28.4g recorded in NHANES dietary data for Hypertension and Prediabetes patients.
type 2 diabetes,tea,safe,"Tea is cultivated around the world, and its polysaccharide components are reported to be an effective approach for managing type 2 diabetes with fewer adverse effects than medication."
low-grade inflammation,diet,safe,"Low-grade inflammation is a suggested mechanism in the development of metabolic syndrome (MetS), and diet could act as a regulator."
ovarian carcinoma,milk,dangerous,The intake of milk and milk products could increase the risk of ovarian carcinoma.
Prediabetes,sugar/desserts,can worsen,sugar/desserts with serving size 200.0g recorded in NHANES dietary data for Hypertension and Prediabetes patients.
diabetes,leaves and fruits of rhus coriaria,safe,The leaves and fruits of Rhus coriaria are traditionally used in Turkey for the treatment of diabetes.
cd,fish oil,safe,Fish oil rich in eicosapentaenoic acid (EPA) and docosahexaenoic acid (DHA) reduces disease activity in patients with CD with raised laboratory markers of inflammation and in healthy subjects alters PBMC function.
Hypertension,salad dressing,can worsen,salad dressing with serving size 14.0g recorded in NHANES dietary data for Hypertension and Prediabetes patients.
sarcopenia,cheese,safe,"The consumption of dairy products by older people may reduce the risk of frailty, especially with high consumption of low-fat milk and yogurt, and may also reduce the risk of sarcopenia by improving skeletal muscle mass through the addition of nutrient-rich dairy proteins (ricotta cheese) to the habitual diet."
bone diseases,dairy products,safe,"However, milk is a food of high nutritional value, and complete exclusion of dairy products may favor the development of bone diseases such as osteopenia and osteoporosis."
bladder cancer,fruit,safe,"Fruit and vegetable consumption was inversely related with bladder cancer in many studies, but no consistent association has emerged between intake of related micronutrients and reduced risk of bladder cancer."
allergic reaction,eggs,dangerous,"Eggs and their derived products are common foods that can induce food allergic reaction, especially in children."
Hypertension,frozen meal (containing meat and vegetables),safe,frozen meal (containing meat and vegetables) is nutritious and may help manage hypertension.
Prediabetes,coffee/soda drink/iced tea,dangerous,coffee/soda drink/iced tea is high in fat/sugar and may worsen prediabetes.
inflammatory diseases,curcuma longa,safe,"The use of turmeric, derived from the root of the plant Curcuma longa, for treatment of different inflammatory diseases has been described in Ayurveda and in traditional Chinese medicine for thousands of years."
Prediabetes,coffee/soda drink/iced tea,dangerous,coffee/soda drink/iced tea is high in fat/sugar and may worsen prediabetes.
osteoporosis,well-balanced diet,safe,"Health claims describe the relation between a food substance and the risk of disease, e.g., ""Adequate calcium and vitamin D throughout life, as part of a well-balanced diet, may reduce the risk of osteoporosis."
Hypertension,Beans,safe,Beans is nutritious and may help manage hypertension.
pain,opioid drugs,safe,"Opioid drugs are widely used to treat chronic pain, but their misuse can lead to tolerance, dependence, and addiction and have created a significant public health problem."
osteoporosis,sugar,dangerous,"However, the other ubiquitous white crystal, sugar, may lead to osteoporosis by increasing inflammation, hyperinsulinemia, increased renal acid load, reduced calcium intake, and increased urinary calcium excretion."
cardiovascular disease,increased olive oil consumption,safe,"Increased olive oil consumption is implicated in a reduction in cardiovascular disease, rheumatoid arthritis, and, to a lesser extent, a variety of cancers."
hypertension,whole milk,safe,"Calcium, bioactive peptides and as yet unidentified components in whole milk may protect from hypertension, and folic acid, vitamin B6 (pyridoxine) and B12 (cyanocobalamin) or other unidentified components of skim milk may contribute to low homocysteine levels."
diabetes,flour,dangerous,"Alloxan (ALX), a food-additive, intaken daily through flour causes diabetes and genotoxicity by inducing chromosomal-aberration and DNA-damage."
anaemia,micronutrient powders,safe,"Home fortification with micronutrient powders (MNP) has been shown to reduce anaemia, with high overall acceptability and adherence, but there is limited evidence from West Africa."
osteoporosis,gelatin hydrolysates,safe,Osteoporosis is a common skeletal disorder in humans and gelatin hydrolysates from mammals have been reported to improve osteoporosis.
hypertension,whey protein (wp),safe,"Besides their nutritional value, whey protein (WP) peptides are food components retaining important pharmacological properties for controlling hypertension."
pain,curcuma longa,safe,"Turmeric (Curcuma longa) has traditionally been used to treat pain, fever, allergic and inflammatory diseases such as bronchitis, arthritis, and dermatitis."
Prediabetes,coffee/soda drink/iced tea,can worsen,coffee/soda drink/iced tea with serving size 240.0g recorded in NHANES dietary data for Hypertension and Prediabetes patients.
postmenopausal osteoporosis,tea consumption,safe,"Tea consumption has positive effects on the skeletal system and prevents postmenopausal osteoporosis, mainly by inhibiting osteoclastogenesis."
arterial hypertension,ultra-processed products ( up ),dangerous,"The consumption of ultra-processed products (UP) is associated with many diseases in the adult, such as arterial hypertension, diabetes, or asthma."
Prediabetes,oil,can worsen,oil with serving size 14.0g recorded in NHANES dietary data for Hypertension and Prediabetes patients.
fracture,milk,safe,"In adult Caucasian women, daily intake of 200-250 ml of milk is associated with a reduction in fracture risk of 5 % or higher."
cardiovascular diseases,labiatae,safe,"Use of Labiatae as food or food additives (such as spices) may prevent risk of cardiovascular diseases, diabetes and cancer."
fatigue,citrus unshiu,safe,"Citrus unshiu (Rutaceae) is an easy-peeling citrus fruit, which has been used as a traditional Korean medicine for improving skin elasticity, relieving fatigue and cough, and preventing bronchitis, flu, and various cancers."
Hypertension,Pancakes/waffles,can worsen,Pancakes/waffles with serving size 140.0g recorded in NHANES dietary data for Hypertension and Prediabetes patients.
bone loss,high protein diets,dangerous,"High protein diets are believed to cause kidney stone formation and bone loss, but the mechanisms mediating these changes are unknown."
hypercalciuria,calcium,dangerous,"Although calcium supplementation can cause hypercalciuria, the risk of nephrolithiasis has been shown to decrease rather than increase among subjects who had a higher calcium intake."
Prediabetes,puerto rican style food,safe,puerto rican style food may support balanced diet for prediabetes.
diabetes,breadfruit,safe,Breadfruit is a traditional staple crop from Pacific islands with the potential to improve worldwide food security and mitigate diabetes.
stone recurrence in hypercalciuric renal stone formers,salt,safe,A diet based on a adequate intake of calcium (1000-1200 mg per day) and containment of animal protein and salt can decrease significantly urinary supersaturation for calcium oxalate and reduce the relative risk of stone recurrence in hypercalciuric renal stone formers.
hypersensitivity,cereals,dangerous,Hypersensitivity to cereals may occur via inhalation or ingestion.
intra vascularhaemolytic anaemia,allium sativa ( garlic ),dangerous,"Despite the high acceptability of Allium sativa (Garlic) as a remedy for many diseases as earlier stated by manyresearchers, previous studies have shown that chronic and unregulated consumption of garlic may result to intra vascularhaemolytic anaemia in rats."
Prediabetes,Lamb/Goat/Veal/Venison,can worsen,Lamb/Goat/Veal/Venison with serving size 85.0g recorded in NHANES dietary data for Hypertension and Prediabetes patients.
Hypertension,"Meat substitute, cereal- and vegetable protein-based, fried",can worsen,"Meat substitute, cereal- and vegetable protein-based, fried with serving size 100.0g recorded in NHANES dietary data for Hypertension and Prediabetes patients."
chronic disease,sodium consumption,dangerous,"However, population-level strategies to reduce sodium consumption, such as food product reformulation, modifying food procurement processes, and federal healthy eating policies, are important public health initiatives that can produce meaningful reductions in sodium consumption and help to prevent chronic disease in adulthood."
Hypertension,raw apple/apricot/avocado/banana/cantaloupe/cherries/fig/grapes/mango/pear/pineapple/,safe,raw apple/apricot/avocado/banana/cantaloupe/cherries/fig/grapes/mango/pear/pineapple/ may support balanced diet for hypertension.
coronary heart diseases,excessive consumption of red meat,dangerous,Excessive consumption of red meat is associated with various diseases including coronary heart diseases and cancer.
Hypertension,Pork,dangerous,Pork is high in fat/sugar and may worsen hypertension.
malnutrition,selective nutrition,safe,Selective nutrition therapy for ASD and brain function shows improvement in behavioral changes and reduction in malnutrition seemingly associated with the allergies or food intolerances to gluten.
Hypertension,Seeds,safe,Seeds may support balanced diet for hypertension.
Prediabetes,grapefruit/lemon/orange,safe,grapefruit/lemon/orange is nutritious and may help manage prediabetes.
neurodegenerative diseases,unbalanced diet,dangerous,"In the last decade, several theories investigating the causes of neurodegenerative diseases have been formulated and a condition or risk factor that can contribute is described by the gut-brain axis hypothesis: stress, unbalanced diet, and drugs impact altering microbiota composition which contributes to dysbiosis."
Prediabetes,Stew (meat/rice/vegetable),safe,Stew (meat/rice/vegetable) is nutritious and may help manage prediabetes.
obesity-related impairments,ginger,safe,"Reports have shown that ginger and avocado induce antioxidant and anti-inflammatory effects by improving enzymatic activity and modulating obesity-related impairments in the anti-inflammatory system in different tissues, without side effects."
Prediabetes,Seeds,safe,Seeds may support balanced diet for prediabetes.
gastrointestinal symptoms,gluten-free diet,safe,"New evidence shows that a gluten-free diet may be beneficial for some patients with gastrointestinal symptoms, such as those symptoms commonly found in patients with IBS."
behavioral dysfunction,ginger,safe,Our previous study suggests that ginger root extract can reverse behavioral dysfunction and prevent Alzheimer's disease (AD)-like symptoms induced by the amyloid-ÃÂÃÂÃÂÃÂ² protein (AÃÂÃÂÃÂÃÂ²) in a rat model.
bone disease,mediterranean diet,safe,Mediterranean diet (MD) has shown to prevent bone disease.
anaemia,iron rich foods,safe,"Improving overall household living conditions, increasing maternal education, delaying childbearing and introducing iron rich foods at six months of age may reduce the likelihood of anaemia in toddlerhood."
hip fracture,milk,safe,"However, there is also evidence of a detrimental effect of milk on the risk of hip fracture."
Hypertension,Pork,dangerous,Pork is high in fat/sugar and may worsen hypertension.
kidney stones,fruits,safe,Various human studies have suggested that diets with a higher intake of vegetables and fruits play a role in the prevention of kidney stones.
osteoporosis,salt,dangerous,"Salt has notoriously been blamed for causing an increase in the urinary excretion of calcium, and thus is a considered a risk factor for osteoporosis."
Prediabetes,egg omelet,safe,egg omelet may support balanced diet for prediabetes.
Hypertension,Crackers,safe,Crackers may support balanced diet for hypertension.
cognitive decline,tofu,safe,"Cell culture studies suggest that phytoestrogens, abundant in soy products such as tempe and tofu, could protect against cognitive decline."
allergic reactions,walnut,dangerous,"Jug r 1, the major allergen of walnut, triggers severe allergic reactions through epitopes."
diabetic,guava tea,safe,"Polyphenols from coffee, guava tea, whortleberry, olive oil, propolis, chocolate, red wine, grape seed, and cocoa have been reported to show anti-diabetic effects in T2D patients through increasing glucose metabolism, improving vascular function as well as reducing insulin resistance and HbA1c level."
tumour,docosahexaenoic acid,safe,Docosahexaenoic acid (DHA) has been shown to reduce tumour growth in preclinical models when combined with chemotherapy and is known to beneficially modulate systemic immune function.
cognitive decline,fruit,safe,"Finally, the limited epidemiological evidence available on fruit and vegetable consumption and cognition generally supported a protective role of these macronutrients against cognitive decline, dementia, and AD."
coronary heart disease,red yeast rice,safe,"Xuezhikang (XZK), an extract derived from red yeast rice, is commonly employed as a traditional Chinese medicine for treating coronary heart disease, improving endothelial function, decreasing blood lipids and preventing other cardiovascular events both within China and globally."
cardiovascular disease,olive oil,safe,"A Mediterranean diet supplemented with olive oil and nuts prevents cardiovascular disease in clinical studies, but the underlying mechanisms are incompletely understood."
metabolic syndrome,coffee,safe,"Further, waste products from tropical fruits including mangosteen rind, coffee pulp and spent coffee grounds provide further options to reduce metabolic syndrome."
allergic,pistachio,dangerous,"Pistachio and cashew contain allergenic proteins, which causes them to be removed from the diet of allergic people."
cardiovascular diseases,fruit,safe,Fruit and vegetable intake has been reported as one of the significant protective factors against the development of cardiovascular diseases (CVD).
Prediabetes,Chicken/Turkey,can worsen,Chicken/Turkey with serving size 110.0g recorded in NHANES dietary data for Hypertension and Prediabetes patients.
Prediabetes,Crackers,safe,Crackers may support balanced diet for prediabetes.
cognitive decline,fruit,safe,"Finally, the limited epidemiological evidence available on fruit and vegetable consumption and cognition generally supported a protective role of these macronutrients against cognitive decline, dementia, and AD."
g6pd) deficiency,blueberries,dangerous,"However, there is evidence in the literature stating that blueberries should be avoided in individuals with glucose-6-phosphate dehydrogenase (G6PD) deficiency."
Hypertension,Beans,safe,Beans is nutritious and may help manage hypertension.
inflammation,ginger,safe,Ginger as an anti-oxidant and anti-inflammation can effect on these biomarkers.
neurodegenerative diseases,fruits,safe,"Epidemiological studies have shown that consumption of diets rich in antioxidant and anti-inflammatory agents, such as those found in fruits and vegetables, may lower the risk of developing age-related neurodegenerative diseases such as Parkinson's disease and Alzheimer's disease."
lifestyle-related diseases,grape extract (ge),safe,"Grape extract (GE), which contains various polyphenolic compounds, exerts protective effects against lifestyle-related diseases, such as diabetes and hypertension."
Hypertension,Seeds,can worsen,Seeds with serving size 30.0g recorded in NHANES dietary data for Hypertension and Prediabetes patients.
asthma,garlic,dangerous,"Twenty-three positive bronchial or nasal challenges were performed on 16 patients (six farmers, six bakery workers, and four food industry workers) and asthma or rhinitis was diagnosed as caused by cereal flour or grain, cow epithelium, storage mites, garlic, or soy dust."
osteoporotic fractures,virgin olive oil,safe,"Virgin olive oil, a key component of the Mediterranean Diet (MDiet), with recognised beneficial effects on metabolism and cardiovascular health, may decrease the risk of osteoporotic fractures."
human ailments,ginger,safe,"Besides its food-additive functions, ginger has a long history of medicinal use for the treatment of a variety of human ailments including common colds, fever, rheumatic disorders, gastrointestinal complications, motion sickness, diabetes, cancer, etc."
Prediabetes,Nuts,can worsen,Nuts with serving size 28.4g recorded in NHANES dietary data for Hypertension and Prediabetes patients.
Prediabetes,Beef,dangerous,Beef is high in fat/sugar and may worsen prediabetes.
metabolic syndrome,coffee,safe,"Further, waste products from tropical fruits including mangosteen rind, coffee pulp and spent coffee grounds provide further options to reduce metabolic syndrome."
ischemic heart disease,mediterranean diet,safe,"With the famous Seven Countries Study, Keys demonstrated for the first time that populations practicing a Mediterranean diet - such as the Greeks and southern Italians - showed low mortality rates from ischemic heart disease compared to the peoples of Northern Europe and North America."
allergic reactions,flour,dangerous,Allergic reactions to wheat may be caused by ingestion of wheat containing foods or inhalation of flour (Bakers asthma).
dementia,nobiletin from citrus peels,safe,"Previously, we identified nobiletin from citrus peels as a natural compound possessing anti-dementia activity."
myxomatous mitral valve disease,fish oil,safe,"A cardiac protection blend (CPB) of nutrients including medium chain triglycerides, fish oil and other key nutrients was developed to slow the progression of canine myxomatous mitral valve disease (MMVD)."
alzheimer's disease,fish oil,safe,Long-term fish oil (FO) supplementation is able to improve Alzheimer's disease (AD) pathology.
atherosclerosis,red meat,dangerous,"Recent evidence has also suggested carnitine from red meat, as a precursor for trimethylamine-N-oxide, which has been shown to cause atherosclerosis, may increase the risk of suffering CVD in experimental animals."
coronary heart disease,fruit,safe,Fruit and vegetable (FV) intake is recommended for the prevention of coronary heart disease (CHD).
