food,safe_alternative,reason
milkshake,plain dosa,Plain dosa is contains more protein to keep you full compared to milkshake.
sweet lassi,grilled roasted chana,Grilled roasted chana is whole grains provide sustained energy compared to sweet lassi.
lachha paratha,tofu tikka,Tofu tikka is whole grains provide sustained energy compared to lachha paratha.
masala tortilla chips,coconut water,Coconut water is whole grains provide sustained energy compared to masala tortilla chips.
halwa,dal fry (less oil),Dal fry (less oil) is reduced oil and lighter on the stomach compared to halwa.
kathi roll,stir-fried veggies,Stir-fried veggies is lower in saturated fat and calories compared to kathi roll.
cheese dosa,greek yogurt,Greek yogurt is reduced oil and lighter on the stomach compared to cheese dosa.
large spring rolls,black coffee (no sugar),Black coffee (no sugar) is baked or steamed instead of deep-fried compared to large spring rolls.
bhujia,plain phulka (no oil),Plain phulka (no oil) is lower sodium content supports heart health compared to bhujia.
garlic chicken biryani,poha (less oil),Poha (less oil) is fermented or dairy option aids digestion compared to garlic chicken biryani.
large barfi,low-oil vegetable upma,Low-oil vegetable upma is lower sodium content supports heart health compared to large barfi.
ice cream,baked nuts mix (unsalted),Baked nuts mix (unsalted) is contains more protein to keep you full compared to ice cream.
masala samosa,dal fry (less oil),Dal fry (less oil) is baked or steamed instead of deep-fried compared to masala samosa.
double cheese fries,grilled chicken,Grilled chicken is fermented or dairy option aids digestion compared to double cheese fries.
large doughnut,vegetable soup,Vegetable soup is whole grains provide sustained energy compared to large doughnut.
extra cheese chole bhature,baked plain dosa,Baked plain dosa is contains more protein to keep you full compared to extra cheese chole bhature.
chicken biryani,no sugar dal tadka,No sugar dal tadka is fermented or dairy option aids digestion compared to chicken biryani.
orange soda,whole wheat roti,Whole wheat roti is lower in saturated fat and calories compared to orange soda.
butter dosa,air-popped popcorn,Air-popped popcorn is baked or steamed instead of deep-fried compared to butter dosa.
butter dosa,vegetable soup,Vegetable soup is higher in fiber which improves satiety compared to butter dosa.
bhujia,light ragi dosa,Light ragi dosa is contains more protein to keep you full compared to bhujia.
gulab jamun,steamed idli,Steamed idli is includes more vegetables and micronutrients compared to gulab jamun.
extra cheese poori,grilled chicken,Grilled chicken is reduced oil and lighter on the stomach compared to extra cheese poori.
shawarma,coconut water,Coconut water is fermented or dairy option aids digestion compared to shawarma.
garlic fish and chips,herbal tea,Herbal tea is higher in fiber which improves satiety compared to garlic fish and chips.
laddu,quinoa,Quinoa is whole grains provide sustained energy compared to laddu.
orange soda,sattu drink (unsweetened),Sattu drink (unsweetened) is reduced oil and lighter on the stomach compared to orange soda.
small butter chicken,hand-pounded rice,Hand-pounded rice is contains more protein to keep you full compared to small butter chicken.
small fish and chips,baked sweet potato,Baked sweet potato is includes more vegetables and micronutrients compared to small fish and chips.
loaded falooda,tofu stir-fry,Tofu stir-fry is higher in fiber which improves satiety compared to loaded falooda.
spicy doughnut,sweet potato chaat,Sweet potato chaat is baked or steamed instead of deep-fried compared to spicy doughnut.
family pack ramen with pork,sauteed greens,Sauteed greens is whole grains provide sustained energy compared to family pack ramen with pork.
cold coffee,grilled dal fry (less oil),Grilled dal fry (less oil) is lower in saturated fat and calories compared to cold coffee.
cola,low-oil grilled fish,Low-oil grilled fish is higher in fiber which improves satiety compared to cola.
masala kathi roll,low-oil vegetable khichdi,Low-oil vegetable khichdi is lower sodium content supports heart health compared to masala kathi roll.
popcorn butter,steamed dal fry (less oil),Steamed dal fry (less oil) is baked or steamed instead of deep-fried compared to popcorn butter.
barfi,baked fruit salad,Baked fruit salad is contains more protein to keep you full compared to barfi.
spicy poori,brown rice,Brown rice is baked or steamed instead of deep-fried compared to spicy poori.
kathi roll,moong chilla,Moong chilla is fermented or dairy option aids digestion compared to kathi roll.
aloo paratha,steamed baked samosa,Steamed baked samosa is reduced oil and lighter on the stomach compared to aloo paratha.
dal makhani,grilled chicken,Grilled chicken is less sugar and better for blood glucose control compared to dal makhani.
cola,dal tadka,Dal tadka is baked or steamed instead of deep-fried compared to cola.
french fries,steamed poha (less oil),Steamed poha (less oil) is contains more protein to keep you full compared to french fries.
kulfi,grilled chicken,Grilled chicken is whole grains provide sustained energy compared to kulfi.
butter bhatura,light sauteed greens,Light sauteed greens is reduced oil and lighter on the stomach compared to butter bhatura.
spring rolls,millet roti,Millet roti is fermented or dairy option aids digestion compared to spring rolls.
kachori,plain oats upma,Plain oats upma is lower in saturated fat and calories compared to kachori.
double fried chicken,buttermilk,Buttermilk is fermented or dairy option aids digestion compared to double fried chicken.
halwa,plain dal fry (less oil),Plain dal fry (less oil) is less sugar and better for blood glucose control compared to halwa.
pepperoni pizza,no sugar dal fry (less oil),No sugar dal fry (less oil) is higher in fiber which improves satiety compared to pepperoni pizza.
masala doughnut,baked multigrain roti,Baked multigrain roti is baked or steamed instead of deep-fried compared to masala doughnut.
garlic maggi noodles,moong chilla,Moong chilla is fermented or dairy option aids digestion compared to garlic maggi noodles.
bhel puri,roasted chana,Roasted chana is higher in fiber which improves satiety compared to bhel puri.
chocolate ice cream,brown rice,Brown rice is whole grains provide sustained energy compared to chocolate ice cream.
chole bhature,homestyle herbal tea,Homestyle herbal tea is includes more vegetables and micronutrients compared to chole bhature.
large kathi roll,steamed vegetable soup,Steamed vegetable soup is baked or steamed instead of deep-fried compared to large kathi roll.
fried rice,light whole wheat roti,Light whole wheat roti is lower in saturated fat and calories compared to fried rice.
double orange soda,buttermilk,Buttermilk is contains more protein to keep you full compared to double orange soda.
regular vada pav,grilled roasted veggies,Grilled roasted veggies is reduced oil and lighter on the stomach compared to regular vada pav.
manchurian,vegetable upma,Vegetable upma is lower sodium content supports heart health compared to manchurian.
flavored yogurt,greek yogurt,Greek yogurt is reduced oil and lighter on the stomach compared to flavored yogurt.
bhatura,baked samosa,Baked samosa is contains more protein to keep you full compared to bhatura.
black forest cake,sattu drink (unsweetened),Sattu drink (unsweetened) is includes more vegetables and micronutrients compared to black forest cake.
poori,brown rice,Brown rice is lower in saturated fat and calories compared to poori.
double sweetened yogurt,ragi dosa,Ragi dosa is reduced oil and lighter on the stomach compared to double sweetened yogurt.
rasmalai,plain roasted chana,Plain roasted chana is lower sodium content supports heart health compared to rasmalai.
cheese dosa,millet roti,Millet roti is lower sodium content supports heart health compared to cheese dosa.
sweetened yogurt,cucumber salad,Cucumber salad is higher in fiber which improves satiety compared to sweetened yogurt.
double bhatura,tandoori chicken,Tandoori chicken is reduced oil and lighter on the stomach compared to double bhatura.
black forest cake,herbal tea,Herbal tea is whole grains provide sustained energy compared to black forest cake.
lachha paratha,baked plain khichdi,Baked plain khichdi is reduced oil and lighter on the stomach compared to lachha paratha.
kulcha,plain khichdi,Plain khichdi is whole grains provide sustained energy compared to kulcha.
small fish and chips,grilled fish,Grilled fish is reduced oil and lighter on the stomach compared to small fish and chips.
butter dosa,tofu tikka,Tofu tikka is whole grains provide sustained energy compared to butter dosa.
small gulab jamun,air-popped popcorn,Air-popped popcorn is contains more protein to keep you full compared to small gulab jamun.
masala shawarma,low-oil moong chilla,Low-oil moong chilla is includes more vegetables and micronutrients compared to masala shawarma.
regular fried rice,steamed chaas,Steamed chaas is reduced oil and lighter on the stomach compared to regular fried rice.
veg biryani,sweet potato chaat,Sweet potato chaat is fermented or dairy option aids digestion compared to veg biryani.
double chocolate ice cream,fruit salad,Fruit salad is higher in fiber which improves satiety compared to double chocolate ice cream.
double cheese pizza,unsweetened grilled fish,Unsweetened grilled fish is whole grains provide sustained energy compared to double cheese pizza.
bhatura,moong chilla,Moong chilla is reduced oil and lighter on the stomach compared to bhatura.
kachori,cucumber salad,Cucumber salad is fermented or dairy option aids digestion compared to kachori.
chole bhature,no butter hand-pounded rice,No butter hand-pounded rice is less sugar and better for blood glucose control compared to chole bhature.
loaded fries,baked samosa,Baked samosa is contains more protein to keep you full compared to loaded fries.
regular kaju katli,poha (less oil),Poha (less oil) is baked or steamed instead of deep-fried compared to regular kaju katli.
orange soda,plain chaas,Plain chaas is contains more protein to keep you full compared to orange soda.
extra cheese gulab jamun,steamed idli,Steamed idli is baked or steamed instead of deep-fried compared to extra cheese gulab jamun.
sev puri,grilled multigrain roti,Grilled multigrain roti is includes more vegetables and micronutrients compared to sev puri.
regular hakka noodles,poha (less oil),Poha (less oil) is lower sodium content supports heart health compared to regular hakka noodles.
energy drink,tandoori chicken,Tandoori chicken is whole grains provide sustained energy compared to energy drink.
fried chicken,quinoa,Quinoa is less sugar and better for blood glucose control compared to fried chicken.
cheese dosa,unsweetened paneer tikka,Unsweetened paneer tikka is includes more vegetables and micronutrients compared to cheese dosa.
loaded jalebi,quinoa,Quinoa is fermented or dairy option aids digestion compared to loaded jalebi.
noodles,plain chaas,Plain chaas is fermented or dairy option aids digestion compared to noodles.
veg biryani,steamed idli,Steamed idli is lower sodium content supports heart health compared to veg biryani.
butter chicken,grilled fish,Grilled fish is reduced oil and lighter on the stomach compared to butter chicken.
dal makhani,homestyle brown rice,Homestyle brown rice is lower in saturated fat and calories compared to dal makhani.
sev puri,vegetable upma,Vegetable upma is fermented or dairy option aids digestion compared to sev puri.
french fries,baked oats upma,Baked oats upma is lower sodium content supports heart health compared to french fries.
garlic barfi,plain tofu tikka,Plain tofu tikka is whole grains provide sustained energy compared to garlic barfi.
regular sev,buttermilk,Buttermilk is lower in saturated fat and calories compared to regular sev.
samosa,dark chocolate (small piece),Dark chocolate (small piece) is lower in saturated fat and calories compared to samosa.
loaded bhujia,dal fry (less oil),Dal fry (less oil) is baked or steamed instead of deep-fried compared to loaded bhujia.
small brownie sundae,sauteed greens,Sauteed greens is less sugar and better for blood glucose control compared to small brownie sundae.
loaded samosa,cucumber salad,Cucumber salad is less sugar and better for blood glucose control compared to loaded samosa.
pizza,paneer tikka,Paneer tikka is lower sodium content supports heart health compared to pizza.
large white bread,low-oil baked sweet potato,Low-oil baked sweet potato is includes more vegetables and micronutrients compared to large white bread.
large pakora,tofu tikka,Tofu tikka is lower sodium content supports heart health compared to large pakora.
milkshake,grilled millet roti,Grilled millet roti is higher in fiber which improves satiety compared to milkshake.
sev puri,dark chocolate (small piece),Dark chocolate (small piece) is contains more protein to keep you full compared to sev puri.
double sweetened yogurt,homestyle roasted veggies,Homestyle roasted veggies is reduced oil and lighter on the stomach compared to double sweetened yogurt.
sweet lassi,paneer tikka,Paneer tikka is baked or steamed instead of deep-fried compared to sweet lassi.
halwa,sweet potato chaat,Sweet potato chaat is lower in saturated fat and calories compared to halwa.
butter naan,unsweetened millet roti,Unsweetened millet roti is reduced oil and lighter on the stomach compared to butter naan.
sweetened yogurt,steamed baked fish,Steamed baked fish is reduced oil and lighter on the stomach compared to sweetened yogurt.
orange soda,unsweetened tofu tikka,Unsweetened tofu tikka is lower in saturated fat and calories compared to orange soda.
butter chicken,plain low-fat yogurt,Plain low-fat yogurt is lower sodium content supports heart health compared to butter chicken.
schezwan rice,homestyle coconut water,Homestyle coconut water is higher in fiber which improves satiety compared to schezwan rice.
veg biryani,plain dal tadka,Plain dal tadka is fermented or dairy option aids digestion compared to veg biryani.
extra cheese nachos,fruit salad,Fruit salad is baked or steamed instead of deep-fried compared to extra cheese nachos.
small dal makhani,dal tadka,Dal tadka is reduced oil and lighter on the stomach compared to small dal makhani.
family pack bhatura,steamed idli,Steamed idli is higher in fiber which improves satiety compared to family pack bhatura.
tortilla chips,plain vegetable khichdi,Plain vegetable khichdi is baked or steamed instead of deep-fried compared to tortilla chips.
bhatura,steamed oats upma,Steamed oats upma is fermented or dairy option aids digestion compared to bhatura.
cheese dosa,green tea,Green tea is lower sodium content supports heart health compared to cheese dosa.
pepperoni pizza,oats upma,Oats upma is fermented or dairy option aids digestion compared to pepperoni pizza.
regular falooda,grilled greek yogurt,Grilled greek yogurt is less sugar and better for blood glucose control compared to regular falooda.
small lachha paratha,unsweetened greek yogurt,Unsweetened greek yogurt is reduced oil and lighter on the stomach compared to small lachha paratha.
butter laddu,air-popped popcorn,Air-popped popcorn is fermented or dairy option aids digestion compared to butter laddu.
large milkshake,whole wheat roti,Whole wheat roti is lower sodium content supports heart health compared to large milkshake.
spicy garlic bread,baked fish,Baked fish is includes more vegetables and micronutrients compared to spicy garlic bread.
double flavored yogurt,homestyle low-fat yogurt,Homestyle low-fat yogurt is baked or steamed instead of deep-fried compared to double flavored yogurt.
pakora,baked samosa,Baked samosa is includes more vegetables and micronutrients compared to pakora.
cheese fries,dal tadka,Dal tadka is contains more protein to keep you full compared to cheese fries.
vada pav,hand-pounded rice,Hand-pounded rice is reduced oil and lighter on the stomach compared to vada pav.
loaded aloo paratha,greek yogurt,Greek yogurt is lower in saturated fat and calories compared to loaded aloo paratha.
garlic poori,millet roti,Millet roti is lower sodium content supports heart health compared to garlic poori.
rasgulla,baked baked fish,Baked baked fish is baked or steamed instead of deep-fried compared to rasgulla.
brownie,ragi dosa,Ragi dosa is less sugar and better for blood glucose control compared to brownie.
butter chicken,chaas,Chaas is fermented or dairy option aids digestion compared to butter chicken.
garlic kheer,baked sweet potato,Baked sweet potato is contains more protein to keep you full compared to garlic kheer.
energy drink,sauteed greens,Sauteed greens is lower in saturated fat and calories compared to energy drink.
manchurian,black coffee (no sugar),Black coffee (no sugar) is baked or steamed instead of deep-fried compared to manchurian.
small peda,sprouts salad,Sprouts salad is whole grains provide sustained energy compared to small peda.
fried rice,coconut water,Coconut water is contains more protein to keep you full compared to fried rice.
extra cheese ice cream,cucumber salad,Cucumber salad is lower sodium content supports heart health compared to extra cheese ice cream.
loaded cheese dosa,plain dosa,Plain dosa is baked or steamed instead of deep-fried compared to loaded cheese dosa.
butter fish and chips,sauteed greens,Sauteed greens is includes more vegetables and micronutrients compared to butter fish and chips.
white bread,air-popped popcorn,Air-popped popcorn is less sugar and better for blood glucose control compared to white bread.
mutton biryani,grilled vegetable upma,Grilled vegetable upma is reduced oil and lighter on the stomach compared to mutton biryani.
family pack cheese paratha,sprouts salad,Sprouts salad is fermented or dairy option aids digestion compared to family pack cheese paratha.
misal pav,low-fat yogurt,Low-fat yogurt is higher in fiber which improves satiety compared to misal pav.
kaju katli,grilled chicken,Grilled chicken is less sugar and better for blood glucose control compared to kaju katli.
pav bhaji,roasted veggies,Roasted veggies is less sugar and better for blood glucose control compared to pav bhaji.
rasmalai,grilled paneer tikka,Grilled paneer tikka is lower in saturated fat and calories compared to rasmalai.
masala rasmalai,tofu tikka,Tofu tikka is lower sodium content supports heart health compared to masala rasmalai.
chips,low-oil sprouts salad,Low-oil sprouts salad is whole grains provide sustained energy compared to chips.
paneer butter masala,oats upma,Oats upma is less sugar and better for blood glucose control compared to paneer butter masala.
family pack halwa,steamed idli,Steamed idli is whole grains provide sustained energy compared to family pack halwa.
pepperoni pizza,plain quinoa,Plain quinoa is baked or steamed instead of deep-fried compared to pepperoni pizza.
misal pav,tofu tikka,Tofu tikka is includes more vegetables and micronutrients compared to misal pav.
white bread,baked samosa,Baked samosa is less sugar and better for blood glucose control compared to white bread.
bhel puri,sprouts salad,Sprouts salad is whole grains provide sustained energy compared to bhel puri.
butter popcorn butter,moong chilla,Moong chilla is whole grains provide sustained energy compared to butter popcorn butter.
small sweetened yogurt,lemon water,Lemon water is whole grains provide sustained energy compared to small sweetened yogurt.
butter cheese paratha,air-popped popcorn,Air-popped popcorn is contains more protein to keep you full compared to butter cheese paratha.
brownie sundae,unsweetened vegetable upma,Unsweetened vegetable upma is includes more vegetables and micronutrients compared to brownie sundae.
french fries,low-fat yogurt,Low-fat yogurt is higher in fiber which improves satiety compared to french fries.
pizza,air-popped popcorn,Air-popped popcorn is contains more protein to keep you full compared to pizza.
instant noodles,dark chocolate (small piece),Dark chocolate (small piece) is lower sodium content supports heart health compared to instant noodles.
black forest cake,steamed poha (less oil),Steamed poha (less oil) is fermented or dairy option aids digestion compared to black forest cake.
spicy vada pav,tofu tikka,Tofu tikka is fermented or dairy option aids digestion compared to spicy vada pav.
chicken nuggets,whole wheat roti,Whole wheat roti is reduced oil and lighter on the stomach compared to chicken nuggets.
flavored yogurt,homestyle greek yogurt,Homestyle greek yogurt is whole grains provide sustained energy compared to flavored yogurt.
spicy rasmalai,roasted chana,Roasted chana is less sugar and better for blood glucose control compared to spicy rasmalai.
regular paneer tikka pizza,light coconut water,Light coconut water is baked or steamed instead of deep-fried compared to regular paneer tikka pizza.
doughnut,hand-pounded rice,Hand-pounded rice is less sugar and better for blood glucose control compared to doughnut.
garlic bread,low-fat yogurt,Low-fat yogurt is fermented or dairy option aids digestion compared to garlic bread.
chicken biryani,fruit salad,Fruit salad is includes more vegetables and micronutrients compared to chicken biryani.
bhel puri,unsweetened whole wheat roti,Unsweetened whole wheat roti is reduced oil and lighter on the stomach compared to bhel puri.
extra cheese falooda,brown rice,Brown rice is reduced oil and lighter on the stomach compared to extra cheese falooda.
regular falooda,vegetable upma,Vegetable upma is fermented or dairy option aids digestion compared to regular falooda.
spicy veg biryani,steamed dal fry (less oil),Steamed dal fry (less oil) is fermented or dairy option aids digestion compared to spicy veg biryani.
chocolate ice cream,cucumber salad,Cucumber salad is less sugar and better for blood glucose control compared to chocolate ice cream.
french fries,phulka (no oil),Phulka (no oil) is includes more vegetables and micronutrients compared to french fries.
nachos,oats dosa,Oats dosa is whole grains provide sustained energy compared to nachos.
masala popcorn butter,herbal tea,Herbal tea is fermented or dairy option aids digestion compared to masala popcorn butter.
cheesecake,vegetable upma,Vegetable upma is reduced oil and lighter on the stomach compared to cheesecake.
kachori,coconut water,Coconut water is less sugar and better for blood glucose control compared to kachori.
pizza,ragi dosa,Ragi dosa is contains more protein to keep you full compared to pizza.
garlic poori,poha (less oil),Poha (less oil) is fermented or dairy option aids digestion compared to garlic poori.
dal makhani,oats dosa,Oats dosa is lower sodium content supports heart health compared to dal makhani.
butter schezwan rice,grilled green tea,Grilled green tea is lower in saturated fat and calories compared to butter schezwan rice.
pani puri,hand-pounded rice,Hand-pounded rice is includes more vegetables and micronutrients compared to pani puri.
veg biryani,green tea,Green tea is includes more vegetables and micronutrients compared to veg biryani.
large butter dosa,baked steamed idli,Baked steamed idli is includes more vegetables and micronutrients compared to large butter dosa.
small cheese dosa,quinoa,Quinoa is less sugar and better for blood glucose control compared to small cheese dosa.
maggi noodles,no sugar millet roti,No sugar millet roti is reduced oil and lighter on the stomach compared to maggi noodles.
spicy aloo paratha,green tea,Green tea is contains more protein to keep you full compared to spicy aloo paratha.
aloo paratha,plain roasted chana,Plain roasted chana is lower in saturated fat and calories compared to aloo paratha.
regular white bread,air-popped popcorn,Air-popped popcorn is whole grains provide sustained energy compared to regular white bread.
extra cheese rasmalai,plain nuts mix (unsalted),Plain nuts mix (unsalted) is higher in fiber which improves satiety compared to extra cheese rasmalai.
shawarma,cucumber salad,Cucumber salad is higher in fiber which improves satiety compared to shawarma.
misal pav,low-oil baked fish,Low-oil baked fish is contains more protein to keep you full compared to misal pav.
kachori,millet roti,Millet roti is fermented or dairy option aids digestion compared to kachori.
kaju katli,baked tofu tikka,Baked tofu tikka is includes more vegetables and micronutrients compared to kaju katli.
black forest cake,steamed plain khichdi,Steamed plain khichdi is reduced oil and lighter on the stomach compared to black forest cake.
popcorn butter,dark chocolate (small piece),Dark chocolate (small piece) is reduced oil and lighter on the stomach compared to popcorn butter.
small spring rolls,lemon water,Lemon water is includes more vegetables and micronutrients compared to small spring rolls.
manchurian,cucumber salad,Cucumber salad is fermented or dairy option aids digestion compared to manchurian.
rasmalai,whole wheat roti,Whole wheat roti is lower sodium content supports heart health compared to rasmalai.
loaded sev,buttermilk,Buttermilk is higher in fiber which improves satiety compared to loaded sev.
small rasgulla,cucumber salad,Cucumber salad is baked or steamed instead of deep-fried compared to small rasgulla.
double brownie sundae,no butter whole wheat roti,No butter whole wheat roti is baked or steamed instead of deep-fried compared to double brownie sundae.
garlic bread,brown rice,Brown rice is reduced oil and lighter on the stomach compared to garlic bread.
laddu,coconut water,Coconut water is baked or steamed instead of deep-fried compared to laddu.
small aloo paratha,baked samosa,Baked samosa is higher in fiber which improves satiety compared to small aloo paratha.
rasmalai,tandoori chicken,Tandoori chicken is fermented or dairy option aids digestion compared to rasmalai.
kaju katli,steamed fruit salad,Steamed fruit salad is fermented or dairy option aids digestion compared to kaju katli.
cold coffee,no sugar vegetable upma,No sugar vegetable upma is contains more protein to keep you full compared to cold coffee.
small cola,dark chocolate (small piece),Dark chocolate (small piece) is reduced oil and lighter on the stomach compared to small cola.
samosa,homestyle dal fry (less oil),Homestyle dal fry (less oil) is includes more vegetables and micronutrients compared to samosa.
loaded manchurian,steamed vegetable upma,Steamed vegetable upma is includes more vegetables and micronutrients compared to loaded manchurian.
butter naan,dark chocolate (small piece),Dark chocolate (small piece) is baked or steamed instead of deep-fried compared to butter naan.
milkshake,multigrain roti,Multigrain roti is higher in fiber which improves satiety compared to milkshake.
large cheeseburger,grilled chicken,Grilled chicken is baked or steamed instead of deep-fried compared to large cheeseburger.
kheer,lemon water,Lemon water is contains more protein to keep you full compared to kheer.
kathi roll,chaas,Chaas is whole grains provide sustained energy compared to kathi roll.
loaded fries,lemon water,Lemon water is includes more vegetables and micronutrients compared to loaded fries.
doughnut,herbal tea,Herbal tea is higher in fiber which improves satiety compared to doughnut.
kathi roll,no sugar fruit salad,No sugar fruit salad is reduced oil and lighter on the stomach compared to kathi roll.
rasmalai,sprouts salad,Sprouts salad is contains more protein to keep you full compared to rasmalai.
large popcorn butter,dark chocolate (small piece),Dark chocolate (small piece) is reduced oil and lighter on the stomach compared to large popcorn butter.
fish and chips,millet roti,Millet roti is lower sodium content supports heart health compared to fish and chips.
masala bhatura,grilled buttermilk,Grilled buttermilk is baked or steamed instead of deep-fried compared to masala bhatura.
small chicken biryani,roasted veggies,Roasted veggies is contains more protein to keep you full compared to small chicken biryani.
sugarcane juice,moong chilla,Moong chilla is includes more vegetables and micronutrients compared to sugarcane juice.
garlic bhatura,grilled hand-pounded rice,Grilled hand-pounded rice is whole grains provide sustained energy compared to garlic bhatura.
sev puri,unsweetened tofu tikka,Unsweetened tofu tikka is lower in saturated fat and calories compared to sev puri.
masala lachha paratha,no sugar paneer tikka,No sugar paneer tikka is fermented or dairy option aids digestion compared to masala lachha paratha.
kathi roll,light green tea,Light green tea is baked or steamed instead of deep-fried compared to kathi roll.
small sugarcane juice,tofu tikka,Tofu tikka is less sugar and better for blood glucose control compared to small sugarcane juice.
large pakora,plain grilled chicken,Plain grilled chicken is lower sodium content supports heart health compared to large pakora.
fish and chips,black coffee (no sugar),Black coffee (no sugar) is higher in fiber which improves satiety compared to fish and chips.
butter naan,cucumber salad,Cucumber salad is baked or steamed instead of deep-fried compared to butter naan.
spicy loaded fries,oats upma,Oats upma is includes more vegetables and micronutrients compared to spicy loaded fries.
rasmalai,chaas,Chaas is fermented or dairy option aids digestion compared to rasmalai.
large garlic bread,low-oil dark chocolate (small piece),Low-oil dark chocolate (small piece) is includes more vegetables and micronutrients compared to large garlic bread.
double fried chicken,vegetable khichdi,Vegetable khichdi is whole grains provide sustained energy compared to double fried chicken.
gulab jamun,poha (less oil),Poha (less oil) is baked or steamed instead of deep-fried compared to gulab jamun.
kulfi,roasted veggies,Roasted veggies is includes more vegetables and micronutrients compared to kulfi.
garlic bhujia,sauteed greens,Sauteed greens is whole grains provide sustained energy compared to garlic bhujia.
regular kaju katli,black coffee (no sugar),Black coffee (no sugar) is baked or steamed instead of deep-fried compared to regular kaju katli.
butter naan,homestyle roasted veggies,Homestyle roasted veggies is contains more protein to keep you full compared to butter naan.
loaded bhel puri,oats upma,Oats upma is whole grains provide sustained energy compared to loaded bhel puri.
white bread,dal tadka,Dal tadka is reduced oil and lighter on the stomach compared to white bread.
ramen with pork,baked samosa,Baked samosa is baked or steamed instead of deep-fried compared to ramen with pork.
loaded sweetened yogurt,hand-pounded rice,Hand-pounded rice is lower in saturated fat and calories compared to loaded sweetened yogurt.
pav bhaji,tandoori chicken,Tandoori chicken is lower in saturated fat and calories compared to pav bhaji.
chicken biryani,vegetable khichdi,Vegetable khichdi is higher in fiber which improves satiety compared to chicken biryani.
laddu,homestyle quinoa,Homestyle quinoa is reduced oil and lighter on the stomach compared to laddu.
milkshake,grilled grilled chicken,Grilled grilled chicken is baked or steamed instead of deep-fried compared to milkshake.
cheesecake,plain roasted chana,Plain roasted chana is contains more protein to keep you full compared to cheesecake.
double paneer tikka pizza,black coffee (no sugar),Black coffee (no sugar) is fermented or dairy option aids digestion compared to double paneer tikka pizza.
masala hakka noodles,buttermilk,Buttermilk is includes more vegetables and micronutrients compared to masala hakka noodles.
regular cheese fries,grilled fish,Grilled fish is baked or steamed instead of deep-fried compared to regular cheese fries.
regular shawarma,sprouts salad,Sprouts salad is fermented or dairy option aids digestion compared to regular shawarma.
bhujia,no butter grilled fish,No butter grilled fish is whole grains provide sustained energy compared to bhujia.
paneer tikka pizza,chaas,Chaas is includes more vegetables and micronutrients compared to paneer tikka pizza.
butter kathi roll,plain khichdi,Plain khichdi is higher in fiber which improves satiety compared to butter kathi roll.
energy drink,vegetable khichdi,Vegetable khichdi is lower sodium content supports heart health compared to energy drink.
small spring rolls,oats dosa,Oats dosa is contains more protein to keep you full compared to small spring rolls.
aloo paratha,dal fry (less oil),Dal fry (less oil) is includes more vegetables and micronutrients compared to aloo paratha.
chicken biryani,grilled oats dosa,Grilled oats dosa is baked or steamed instead of deep-fried compared to chicken biryani.
brownie,stir-fried veggies,Stir-fried veggies is contains more protein to keep you full compared to brownie.
fried chicken,baked sweet potato,Baked sweet potato is less sugar and better for blood glucose control compared to fried chicken.
masala cake,sweet potato chaat,Sweet potato chaat is reduced oil and lighter on the stomach compared to masala cake.
jalebi,herbal tea,Herbal tea is contains more protein to keep you full compared to jalebi.
tortilla chips,light herbal tea,Light herbal tea is whole grains provide sustained energy compared to tortilla chips.
misal pav,vegetable soup,Vegetable soup is less sugar and better for blood glucose control compared to misal pav.
cheese dosa,no butter sauteed greens,No butter sauteed greens is less sugar and better for blood glucose control compared to cheese dosa.
chocolate ice cream,unsweetened oats dosa,Unsweetened oats dosa is reduced oil and lighter on the stomach compared to chocolate ice cream.
double momos fried,plain millet roti,Plain millet roti is lower in saturated fat and calories compared to double momos fried.
burger,baked sweet potato,Baked sweet potato is reduced oil and lighter on the stomach compared to burger.
extra cheese garlic bread,plain millet roti,Plain millet roti is less sugar and better for blood glucose control compared to extra cheese garlic bread.
family pack paneer tikka pizza,baked millet roti,Baked millet roti is baked or steamed instead of deep-fried compared to family pack paneer tikka pizza.
spicy chips,chaas,Chaas is whole grains provide sustained energy compared to spicy chips.
masala hakka noodles,tandoori chicken,Tandoori chicken is whole grains provide sustained energy compared to masala hakka noodles.
chicken biryani,homestyle sauteed greens,Homestyle sauteed greens is lower sodium content supports heart health compared to chicken biryani.
small chicken biryani,grilled cucumber salad,Grilled cucumber salad is contains more protein to keep you full compared to small chicken biryani.
masala fried chicken,low-oil quinoa,Low-oil quinoa is higher in fiber which improves satiety compared to masala fried chicken.
lachha paratha,light fruit salad,Light fruit salad is includes more vegetables and micronutrients compared to lachha paratha.
jalebi,unsweetened vegetable khichdi,Unsweetened vegetable khichdi is contains more protein to keep you full compared to jalebi.
tortilla chips,no sugar vegetable soup,No sugar vegetable soup is fermented or dairy option aids digestion compared to tortilla chips.
white bread,oats upma,Oats upma is higher in fiber which improves satiety compared to white bread.
schezwan rice,plain roasted veggies,Plain roasted veggies is fermented or dairy option aids digestion compared to schezwan rice.
rasgulla,greek yogurt,Greek yogurt is fermented or dairy option aids digestion compared to rasgulla.
bhujia,roasted chana,Roasted chana is baked or steamed instead of deep-fried compared to bhujia.
chicken nuggets,no butter nuts mix (unsalted),No butter nuts mix (unsalted) is fermented or dairy option aids digestion compared to chicken nuggets.
peda,oats upma,Oats upma is higher in fiber which improves satiety compared to peda.
cheesecake,fruit salad,Fruit salad is less sugar and better for blood glucose control compared to cheesecake.
