medicine,use,side_effect,condition,age_grp,risk_level,food_allergies,allergens_medicine,food_name,ingredients,main_ingredient,allergens,alternative_food
nitrofurantoin,urinary antiseptic,rashes,Cold,Senior,cautious,sesame,reduced absorption,dark chocolate,"cocoa, sugar, milk",cocoa,reduced absorption,"Carob Bar, Milk Chocolate"
dabigatran,blood thinner,nausea,Cold,Senior,cautious,peanuts,no major risk,red wine,"grapes, yeast",grapes,no major risk,No alternative available
gliclazide,treatment of diabetes,stomach pain,Fever,Child,safe,No allergens reported,reduced absorption,rasmalai,"milk, sugar, saffron",milk,reduced absorption,No alternative available
dabigatran,blood thinner,nausea,Hypertension,Adult,dangerous,peanuts,additive stimulation,chole,"chickpeas, tomato, onion",chickpeas,additive stimulation,"Red Kidney Beans, Black Beans, Green Peas"
gliclazide,treatment of diabetes,stomach pain,Hypertension,Child,safe,No allergens reported,reduced effectiveness,biryani,"rice, spices, chicken",rice,reduced effectiveness,No alternative available
phenytoin,anti-seizure,diarrhea,Flu,Adult,safe,No allergens reported,additive stimulation,chole,"chickpeas, tomato, onion",chickpeas,additive stimulation,"Red Kidney Beans, Black Beans, Green Peas"
gliclazide,treatment of diabetes,stomach pain,Fever,Child,dangerous,No allergens reported,no major risk,kadhi,"turmeric, curd, gram flour",curd,no major risk,No alternative available
pravastatin,cholesterol control,dizziness,Flu,Adult,dangerous,eggs,no major risk,red wine,"grapes, yeast",grapes,no major risk,No alternative available
gliclazide,treatment of diabetes,stomach pain,Fever,Child,safe,No allergens reported,additive stimulation,chole,"chickpeas, tomato, onion",chickpeas,additive stimulation,"Red Kidney Beans, Black Beans, Green Peas"
metronidazole,antibiotic,headache,Cold,Senior,dangerous,No allergens reported,reduced effectiveness,biryani,"rice, spices, chicken",rice,reduced effectiveness,No alternative available
fexofenadine,anti-allergy,fatigue,Fever,Adult,safe,No allergens reported,additive stimulation,ramen,"noodles, soy sauce, onion",noodles,additive stimulation,"Brown Rice Noodles, Millet Pasta, Quinoa Pasta"
dabigatran,blood thinner,nausea,Flu,Child,dangerous,peanuts,disulfiram-like reaction,aged cheese,"milk, rennet",milk,disulfiram-like reaction,"Vegan Cheese, Nutritional Yeast, Cottage Cheese"
bupropion,anti-depressant,vomiting,Fever,Senior,cautious,wheat,reduced effectiveness,biryani,"rice, spices, chicken",rice,reduced effectiveness,No alternative available
pravastatin,cholesterol control,dizziness,Fever,Child,cautious,eggs,reduced absorption,rasmalai,"milk, sugar, saffron",milk,reduced absorption,No alternative available
pravastatin,cholesterol control,dizziness,Flu,Adult,cautious,eggs,additive stimulation,ramen,"noodles, soy sauce, onion",noodles,additive stimulation,"Brown Rice Noodles, Millet Pasta, Quinoa Pasta"
pravastatin,cholesterol control,dizziness,Hypertension,Adult,dangerous,eggs,reduced absorption,dark chocolate,"cocoa, sugar, milk",cocoa,reduced absorption,"Carob Bar, Milk Chocolate"
pravastatin,cholesterol control,dizziness,Asthma,Adult,safe,eggs,disulfiram-like reaction,aged cheese,"milk, rennet",milk,disulfiram-like reaction,"Vegan Cheese, Nutritional Yeast, Cottage Cheese"
nitrofurantoin,urinary antiseptic,rashes,Hypertension,Adult,cautious,sesame,reduced absorption,rasmalai,"milk, sugar, saffron",milk,reduced absorption,No alternative available
phenytoin,anti-seizure,diarrhea,Fever,Senior,dangerous,No allergens reported,no major risk,red wine,"grapes, yeast",grapes,no major risk,No alternative available
bupropion,anti-depressant,vomiting,Fever,Child,dangerous,wheat,reduced absorption,rasmalai,"milk, sugar, saffron",milk,reduced absorption,No alternative available
magnesium supplements,treatment of kidney stone,tiredness,Hypertension,Child,dangerous,No allergens reported,additive stimulation,ramen,"noodles, soy sauce, onion",noodles,additive stimulation,"Brown Rice Noodles, Millet Pasta, Quinoa Pasta"
bupropion,anti-depressant,vomiting,Flu,Senior,safe,wheat,no major risk,kadhi,"turmeric, curd, gram flour",curd,no major risk,No alternative available
fexofenadine,anti-allergy,fatigue,Asthma,Child,dangerous,No allergens reported,no major risk,red wine,"grapes, yeast",grapes,no major risk,No alternative available
bupropion,anti-depressant,vomiting,Flu,Adult,cautious,wheat,no major risk,kadhi,"turmeric, curd, gram flour",curd,no major risk,No alternative available
pravastatin,cholesterol control,dizziness,Asthma,Child,dangerous,eggs,increases side effects,halwa,"semolina, ghee, sugar",semolina,increases side effects,"Brown Rice Kheer, Fruit Salad, Millet Halwa"
pravastatin,cholesterol control,dizziness,Cold,Senior,dangerous,eggs,additive stimulation,ramen,"noodles, soy sauce, onion",noodles,additive stimulation,"Brown Rice Noodles, Millet Pasta, Quinoa Pasta"
phenytoin,anti-seizure,diarrhea,Flu,Child,cautious,No allergens reported,reduced absorption,dark chocolate,"cocoa, sugar, milk",cocoa,reduced absorption,"Carob Bar, Milk Chocolate"
gliclazide,treatment of diabetes,stomach pain,Hypertension,Child,dangerous,No allergens reported,increases side effects,halwa,"semolina, ghee, sugar",semolina,increases side effects,"Brown Rice Kheer, Fruit Salad, Millet Halwa"
nitrofurantoin,urinary antiseptic,rashes,Fever,Adult,cautious,sesame,reduced effectiveness,biryani,"rice, spices, chicken",rice,reduced effectiveness,No alternative available
magnesium supplements,treatment of kidney stone,tiredness,Fever,Child,cautious,No allergens reported,no major risk,kadhi,"turmeric, curd, gram flour",curd,no major risk,No alternative available
pravastatin,cholesterol control,dizziness,Hypertension,Child,dangerous,eggs,no major risk,red wine,"grapes, yeast",grapes,no major risk,No alternative available
gliclazide,treatment of diabetes,stomach pain,Hypertension,Senior,cautious,No allergens reported,no major risk,kadhi,"turmeric, curd, gram flour",curd,no major risk,No alternative available
phenytoin,anti-seizure,diarrhea,Asthma,Senior,cautious,No allergens reported,reduced absorption,rasmalai,"milk, sugar, saffron",milk,reduced absorption,No alternative available
nitrofurantoin,urinary antiseptic,rashes,Fever,Senior,cautious,sesame,reduced effectiveness,biryani,"rice, spices, chicken",rice,reduced effectiveness,No alternative available
bupropion,anti-depressant,vomiting,Hypertension,Child,cautious,wheat,additive stimulation,chole,"chickpeas, tomato, onion",chickpeas,additive stimulation,"Red Kidney Beans, Black Beans, Green Peas"
gliclazide,treatment of diabetes,stomach pain,Fever,Adult,dangerous,No allergens reported,increases side effects,halwa,"semolina, ghee, sugar",semolina,increases side effects,"Brown Rice Kheer, Fruit Salad, Millet Halwa"
phenytoin,anti-seizure,diarrhea,Asthma,Senior,safe,No allergens reported,hypertensive crisis,beer,"barley, hops, yeast",barley,hypertensive crisis,No alternative available
nitrofurantoin,urinary antiseptic,rashes,Cold,Adult,safe,sesame,reduced effectiveness,biryani,"rice, spices, chicken",rice,reduced effectiveness,No alternative available
dabigatran,blood thinner,nausea,Fever,Senior,cautious,peanuts,increases side effects,halwa,"semolina, ghee, sugar",semolina,increases side effects,"Brown Rice Kheer, Fruit Salad, Millet Halwa"
phenytoin,anti-seizure,diarrhea,Hypertension,Senior,cautious,No allergens reported,reduced absorption,dark chocolate,"cocoa, sugar, milk",cocoa,reduced absorption,"Carob Bar, Milk Chocolate"
phenytoin,anti-seizure,diarrhea,Hypertension,Child,dangerous,No allergens reported,no major risk,kadhi,"turmeric, curd, gram flour",curd,no major risk,No alternative available
dabigatran,blood thinner,nausea,Asthma,Senior,dangerous,peanuts,no major risk,red wine,"grapes, yeast",grapes,no major risk,No alternative available
phenytoin,anti-seizure,diarrhea,Cold,Child,dangerous,No allergens reported,reduced absorption,rasmalai,"milk, sugar, saffron",milk,reduced absorption,No alternative available
magnesium supplements,treatment of kidney stone,tiredness,Flu,Senior,safe,No allergens reported,increases side effects,halwa,"semolina, ghee, sugar",semolina,increases side effects,"Brown Rice Kheer, Fruit Salad, Millet Halwa"
dabigatran,blood thinner,nausea,Asthma,Child,safe,peanuts,additive stimulation,ramen,"noodles, soy sauce, onion",noodles,additive stimulation,"Brown Rice Noodles, Millet Pasta, Quinoa Pasta"
metronidazole,antibiotic,headache,Asthma,Child,safe,No allergens reported,reduced effectiveness,biryani,"rice, spices, chicken",rice,reduced effectiveness,No alternative available
nitrofurantoin,urinary antiseptic,rashes,Fever,Adult,cautious,sesame,increases side effects,halwa,"semolina, ghee, sugar",semolina,increases side effects,"Brown Rice Kheer, Fruit Salad, Millet Halwa"
magnesium supplements,treatment of kidney stone,tiredness,Fever,Child,safe,No allergens reported,disulfiram-like reaction,aged cheese,"milk, rennet",milk,disulfiram-like reaction,"Vegan Cheese, Nutritional Yeast, Cottage Cheese"
gliclazide,treatment of diabetes,stomach pain,Hypertension,Senior,dangerous,No allergens reported,hypertensive crisis,beer,"barley, hops, yeast",barley,hypertensive crisis,No alternative available
gliclazide,treatment of diabetes,stomach pain,Cold,Senior,dangerous,No allergens reported,no major risk,kadhi,"turmeric, curd, gram flour",curd,no major risk,No alternative available
nitrofurantoin,urinary antiseptic,rashes,Hypertension,Senior,cautious,sesame,additive stimulation,chole,"chickpeas, tomato, onion",chickpeas,additive stimulation,"Red Kidney Beans, Black Beans, Green Peas"
metronidazole,antibiotic,headache,Cold,Adult,safe,No allergens reported,hypertensive crisis,beer,"barley, hops, yeast",barley,hypertensive crisis,No alternative available
gliclazide,treatment of diabetes,stomach pain,Cold,Child,dangerous,No allergens reported,no major risk,red wine,"grapes, yeast",grapes,no major risk,No alternative available
magnesium supplements,treatment of kidney stone,tiredness,Asthma,Adult,cautious,No allergens reported,reduced effectiveness,biryani,"rice, spices, chicken",rice,reduced effectiveness,No alternative available
dabigatran,blood thinner,nausea,Cold,Senior,safe,peanuts,reduced absorption,rasmalai,"milk, sugar, saffron",milk,reduced absorption,No alternative available
gliclazide,treatment of diabetes,stomach pain,Asthma,Adult,cautious,No allergens reported,additive stimulation,chole,"chickpeas, tomato, onion",chickpeas,additive stimulation,"Red Kidney Beans, Black Beans, Green Peas"
pravastatin,cholesterol control,dizziness,Flu,Adult,safe,eggs,additive stimulation,chole,"chickpeas, tomato, onion",chickpeas,additive stimulation,"Red Kidney Beans, Black Beans, Green Peas"
dabigatran,blood thinner,nausea,Asthma,Child,dangerous,peanuts,disulfiram-like reaction,aged cheese,"milk, rennet",milk,disulfiram-like reaction,"Vegan Cheese, Nutritional Yeast, Cottage Cheese"
metronidazole,antibiotic,headache,Fever,Senior,dangerous,No allergens reported,reduced absorption,rasmalai,"milk, sugar, saffron",milk,reduced absorption,No alternative available
nitrofurantoin,urinary antiseptic,rashes,Asthma,Adult,cautious,sesame,disulfiram-like reaction,aged cheese,"milk, rennet",milk,disulfiram-like reaction,"Vegan Cheese, Nutritional Yeast, Cottage Cheese"
fexofenadine,anti-allergy,fatigue,Cold,Adult,dangerous,No allergens reported,additive stimulation,ramen,"noodles, soy sauce, onion",noodles,additive stimulation,"Brown Rice Noodles, Millet Pasta, Quinoa Pasta"
gliclazide,treatment of diabetes,stomach pain,Fever,Adult,cautious,No allergens reported,no major risk,red wine,"grapes, yeast",grapes,no major risk,No alternative available
pravastatin,cholesterol control,dizziness,Asthma,Adult,cautious,eggs,increases side effects,halwa,"semolina, ghee, sugar",semolina,increases side effects,"Brown Rice Kheer, Fruit Salad, Millet Halwa"
gliclazide,treatment of diabetes,stomach pain,Hypertension,Child,safe,No allergens reported,disulfiram-like reaction,aged cheese,"milk, rennet",milk,disulfiram-like reaction,"Vegan Cheese, Nutritional Yeast, Cottage Cheese"
magnesium supplements,treatment of kidney stone,tiredness,Asthma,Senior,cautious,No allergens reported,increases side effects,halwa,"semolina, ghee, sugar",semolina,increases side effects,"Brown Rice Kheer, Fruit Salad, Millet Halwa"
pravastatin,cholesterol control,dizziness,Hypertension,Senior,safe,eggs,additive stimulation,ramen,"noodles, soy sauce, onion",noodles,additive stimulation,"Brown Rice Noodles, Millet Pasta, Quinoa Pasta"
metronidazole,antibiotic,headache,Cold,Senior,safe,No allergens reported,additive stimulation,ramen,"noodles, soy sauce, onion",noodles,additive stimulation,"Brown Rice Noodles, Millet Pasta, Quinoa Pasta"
fexofenadine,anti-allergy,fatigue,Hypertension,Senior,cautious,No allergens reported,increases side effects,halwa,"semolina, ghee, sugar",semolina,increases side effects,"Brown Rice Kheer, Fruit Salad, Millet Halwa"
dabigatran,blood thinner,nausea,Cold,Child,cautious,peanuts,additive stimulation,chole,"chickpeas, tomato, onion",chickpeas,additive stimulation,"Red Kidney Beans, Black Beans, Green Peas"
pravastatin,cholesterol control,dizziness,Cold,Adult,dangerous,eggs,increases side effects,halwa,"semolina, ghee, sugar",semolina,increases side effects,"Brown Rice Kheer, Fruit Salad, Millet Halwa"
metronidazole,antibiotic,headache,Cold,Adult,cautious,No allergens reported,hypertensive crisis,beer,"barley, hops, yeast",barley,hypertensive crisis,No alternative available
phenytoin,anti-seizure,diarrhea,Fever,Senior,dangerous,No allergens reported,additive stimulation,ramen,"noodles, soy sauce, onion",noodles,additive stimulation,"Brown Rice Noodles, Millet Pasta, Quinoa Pasta"
pravastatin,cholesterol control,dizziness,Fever,Child,safe,eggs,hypertensive crisis,beer,"barley, hops, yeast",barley,hypertensive crisis,No alternative available
phenytoin,anti-seizure,diarrhea,Hypertension,Senior,cautious,No allergens reported,no major risk,red wine,"grapes, yeast",grapes,no major risk,No alternative available
fexofenadine,anti-allergy,fatigue,Hypertension,Adult,cautious,No allergens reported,no major risk,kadhi,"turmeric, curd, gram flour",curd,no major risk,No alternative available
gliclazide,treatment of diabetes,stomach pain,Fever,Child,dangerous,No allergens reported,additive stimulation,ramen,"noodles, soy sauce, onion",noodles,additive stimulation,"Brown Rice Noodles, Millet Pasta, Quinoa Pasta"
nitrofurantoin,urinary antiseptic,rashes,Flu,Adult,dangerous,sesame,additive stimulation,ramen,"noodles, soy sauce, onion",noodles,additive stimulation,"Brown Rice Noodles, Millet Pasta, Quinoa Pasta"
dabigatran,blood thinner,nausea,Cold,Senior,safe,peanuts,additive stimulation,chole,"chickpeas, tomato, onion",chickpeas,additive stimulation,"Red Kidney Beans, Black Beans, Green Peas"
phenytoin,anti-seizure,diarrhea,Flu,Senior,dangerous,No allergens reported,no major risk,red wine,"grapes, yeast",grapes,no major risk,No alternative available
dabigatran,blood thinner,nausea,Hypertension,Adult,safe,peanuts,disulfiram-like reaction,aged cheese,"milk, rennet",milk,disulfiram-like reaction,"Vegan Cheese, Nutritional Yeast, Cottage Cheese"
nitrofurantoin,urinary antiseptic,rashes,Cold,Child,cautious,sesame,reduced effectiveness,biryani,"rice, spices, chicken",rice,reduced effectiveness,No alternative available
dabigatran,blood thinner,nausea,Flu,Senior,dangerous,peanuts,reduced effectiveness,biryani,"rice, spices, chicken",rice,reduced effectiveness,No alternative available
gliclazide,treatment of diabetes,stomach pain,Hypertension,Adult,dangerous,No allergens reported,reduced effectiveness,biryani,"rice, spices, chicken",rice,reduced effectiveness,No alternative available
magnesium supplements,treatment of kidney stone,tiredness,Flu,Senior,cautious,No allergens reported,no major risk,red wine,"grapes, yeast",grapes,no major risk,No alternative available
bupropion,anti-depressant,vomiting,Cold,Adult,dangerous,wheat,increases side effects,halwa,"semolina, ghee, sugar",semolina,increases side effects,"Brown Rice Kheer, Fruit Salad, Millet Halwa"
magnesium supplements,treatment of kidney stone,tiredness,Flu,Adult,dangerous,No allergens reported,no major risk,red wine,"grapes, yeast",grapes,no major risk,No alternative available
gliclazide,treatment of diabetes,stomach pain,Fever,Senior,cautious,No allergens reported,increases side effects,halwa,"semolina, ghee, sugar",semolina,increases side effects,"Brown Rice Kheer, Fruit Salad, Millet Halwa"
dabigatran,blood thinner,nausea,Fever,Senior,dangerous,peanuts,reduced absorption,dark chocolate,"cocoa, sugar, milk",cocoa,reduced absorption,"Carob Bar, Milk Chocolate"
bupropion,anti-depressant,vomiting,Asthma,Senior,safe,wheat,increases side effects,halwa,"semolina, ghee, sugar",semolina,increases side effects,"Brown Rice Kheer, Fruit Salad, Millet Halwa"
bupropion,anti-depressant,vomiting,Cold,Adult,safe,wheat,additive stimulation,ramen,"noodles, soy sauce, onion",noodles,additive stimulation,"Brown Rice Noodles, Millet Pasta, Quinoa Pasta"
metronidazole,antibiotic,headache,Fever,Adult,cautious,No allergens reported,reduced absorption,dark chocolate,"cocoa, sugar, milk",cocoa,reduced absorption,"Carob Bar, Milk Chocolate"
pravastatin,cholesterol control,dizziness,Flu,Child,cautious,eggs,additive stimulation,chole,"chickpeas, tomato, onion",chickpeas,additive stimulation,"Red Kidney Beans, Black Beans, Green Peas"
phenytoin,anti-seizure,diarrhea,Flu,Child,safe,No allergens reported,reduced effectiveness,biryani,"rice, spices, chicken",rice,reduced effectiveness,No alternative available
nitrofurantoin,urinary antiseptic,rashes,Hypertension,Senior,cautious,sesame,reduced effectiveness,biryani,"rice, spices, chicken",rice,reduced effectiveness,No alternative available
dabigatran,blood thinner,nausea,Cold,Child,safe,peanuts,reduced absorption,rasmalai,"milk, sugar, saffron",milk,reduced absorption,No alternative available
phenytoin,anti-seizure,diarrhea,Asthma,Adult,dangerous,No allergens reported,no major risk,kadhi,"turmeric, curd, gram flour",curd,no major risk,No alternative available
bupropion,anti-depressant,vomiting,Flu,Child,cautious,wheat,disulfiram-like reaction,aged cheese,"milk, rennet",milk,disulfiram-like reaction,"Vegan Cheese, Nutritional Yeast, Cottage Cheese"
fexofenadine,anti-allergy,fatigue,Fever,Adult,dangerous,No allergens reported,additive stimulation,ramen,"noodles, soy sauce, onion",noodles,additive stimulation,"Brown Rice Noodles, Millet Pasta, Quinoa Pasta"
gliclazide,treatment of diabetes,stomach pain,Cold,Senior,cautious,No allergens reported,no major risk,red wine,"grapes, yeast",grapes,no major risk,No alternative available
bupropion,anti-depressant,vomiting,Hypertension,Senior,dangerous,wheat,disulfiram-like reaction,aged cheese,"milk, rennet",milk,disulfiram-like reaction,"Vegan Cheese, Nutritional Yeast, Cottage Cheese"
bupropion,anti-depressant,vomiting,Fever,Senior,safe,wheat,no major risk,red wine,"grapes, yeast",grapes,no major risk,No alternative available
phenytoin,anti-seizure,diarrhea,Flu,Senior,cautious,No allergens reported,no major risk,red wine,"grapes, yeast",grapes,no major risk,No alternative available
magnesium supplements,treatment of kidney stone,tiredness,Cold,Child,safe,No allergens reported,reduced absorption,rasmalai,"milk, sugar, saffron",milk,reduced absorption,No alternative available
magnesium supplements,treatment of kidney stone,tiredness,Cold,Senior,dangerous,No allergens reported,hypertensive crisis,beer,"barley, hops, yeast",barley,hypertensive crisis,No alternative available
pravastatin,cholesterol control,dizziness,Asthma,Senior,dangerous,eggs,increases side effects,halwa,"semolina, ghee, sugar",semolina,increases side effects,"Brown Rice Kheer, Fruit Salad, Millet Halwa"
nitrofurantoin,urinary antiseptic,rashes,Hypertension,Adult,cautious,sesame,reduced effectiveness,biryani,"rice, spices, chicken",rice,reduced effectiveness,No alternative available
bupropion,anti-depressant,vomiting,Hypertension,Adult,cautious,wheat,disulfiram-like reaction,aged cheese,"milk, rennet",milk,disulfiram-like reaction,"Vegan Cheese, Nutritional Yeast, Cottage Cheese"
dabigatran,blood thinner,nausea,Cold,Child,cautious,peanuts,no major risk,red wine,"grapes, yeast",grapes,no major risk,No alternative available
bupropion,anti-depressant,vomiting,Fever,Adult,safe,wheat,reduced absorption,dark chocolate,"cocoa, sugar, milk",cocoa,reduced absorption,"Carob Bar, Milk Chocolate"
pravastatin,cholesterol control,dizziness,Cold,Adult,dangerous,eggs,reduced absorption,rasmalai,"milk, sugar, saffron",milk,reduced absorption,No alternative available
magnesium supplements,treatment of kidney stone,tiredness,Flu,Senior,safe,No allergens reported,reduced effectiveness,biryani,"rice, spices, chicken",rice,reduced effectiveness,No alternative available
pravastatin,cholesterol control,dizziness,Cold,Child,dangerous,eggs,additive stimulation,chole,"chickpeas, tomato, onion",chickpeas,additive stimulation,"Red Kidney Beans, Black Beans, Green Peas"
gliclazide,treatment of diabetes,stomach pain,Flu,Child,dangerous,No allergens reported,disulfiram-like reaction,aged cheese,"milk, rennet",milk,disulfiram-like reaction,"Vegan Cheese, Nutritional Yeast, Cottage Cheese"
magnesium supplements,treatment of kidney stone,tiredness,Flu,Adult,safe,No allergens reported,increases side effects,halwa,"semolina, ghee, sugar",semolina,increases side effects,"Brown Rice Kheer, Fruit Salad, Millet Halwa"
magnesium supplements,treatment of kidney stone,tiredness,Hypertension,Senior,cautious,No allergens reported,increases side effects,halwa,"semolina, ghee, sugar",semolina,increases side effects,"Brown Rice Kheer, Fruit Salad, Millet Halwa"
nitrofurantoin,urinary antiseptic,rashes,Fever,Adult,cautious,sesame,disulfiram-like reaction,aged cheese,"milk, rennet",milk,disulfiram-like reaction,"Vegan Cheese, Nutritional Yeast, Cottage Cheese"
gliclazide,treatment of diabetes,stomach pain,Flu,Child,cautious,No allergens reported,reduced effectiveness,biryani,"rice, spices, chicken",rice,reduced effectiveness,No alternative available
gliclazide,treatment of diabetes,stomach pain,Hypertension,Adult,dangerous,No allergens reported,no major risk,kadhi,"turmeric, curd, gram flour",curd,no major risk,No alternative available
metronidazole,antibiotic,headache,Flu,Senior,dangerous,No allergens reported,increases side effects,halwa,"semolina, ghee, sugar",semolina,increases side effects,"Brown Rice Kheer, Fruit Salad, Millet Halwa"
pravastatin,cholesterol control,dizziness,Fever,Adult,dangerous,eggs,disulfiram-like reaction,aged cheese,"milk, rennet",milk,disulfiram-like reaction,"Vegan Cheese, Nutritional Yeast, Cottage Cheese"
gliclazide,treatment of diabetes,stomach pain,Hypertension,Senior,dangerous,No allergens reported,reduced absorption,dark chocolate,"cocoa, sugar, milk",cocoa,reduced absorption,"Carob Bar, Milk Chocolate"
gliclazide,treatment of diabetes,stomach pain,Fever,Child,dangerous,No allergens reported,reduced absorption,dark chocolate,"cocoa, sugar, milk",cocoa,reduced absorption,"Carob Bar, Milk Chocolate"
bupropion,anti-depressant,vomiting,Fever,Adult,safe,wheat,additive stimulation,chole,"chickpeas, tomato, onion",chickpeas,additive stimulation,"Red Kidney Beans, Black Beans, Green Peas"
fexofenadine,anti-allergy,fatigue,Asthma,Child,cautious,No allergens reported,no major risk,kadhi,"turmeric, curd, gram flour",curd,no major risk,No alternative available
magnesium supplements,treatment of kidney stone,tiredness,Fever,Senior,safe,No allergens reported,reduced absorption,dark chocolate,"cocoa, sugar, milk",cocoa,reduced absorption,"Carob Bar, Milk Chocolate"
bupropion,anti-depressant,vomiting,Flu,Adult,dangerous,wheat,reduced absorption,dark chocolate,"cocoa, sugar, milk",cocoa,reduced absorption,"Carob Bar, Milk Chocolate"
bupropion,anti-depressant,vomiting,Flu,Child,dangerous,wheat,reduced effectiveness,biryani,"rice, spices, chicken",rice,reduced effectiveness,No alternative available
magnesium supplements,treatment of kidney stone,tiredness,Flu,Adult,cautious,No allergens reported,reduced absorption,dark chocolate,"cocoa, sugar, milk",cocoa,reduced absorption,"Carob Bar, Milk Chocolate"
fexofenadine,anti-allergy,fatigue,Fever,Senior,safe,No allergens reported,reduced absorption,rasmalai,"milk, sugar, saffron",milk,reduced absorption,No alternative available
nitrofurantoin,urinary antiseptic,rashes,Cold,Adult,safe,sesame,additive stimulation,ramen,"noodles, soy sauce, onion",noodles,additive stimulation,"Brown Rice Noodles, Millet Pasta, Quinoa Pasta"
magnesium supplements,treatment of kidney stone,tiredness,Flu,Child,cautious,No allergens reported,increases side effects,halwa,"semolina, ghee, sugar",semolina,increases side effects,"Brown Rice Kheer, Fruit Salad, Millet Halwa"
pravastatin,cholesterol control,dizziness,Cold,Child,cautious,eggs,hypertensive crisis,beer,"barley, hops, yeast",barley,hypertensive crisis,No alternative available
nitrofurantoin,urinary antiseptic,rashes,Fever,Child,dangerous,sesame,reduced effectiveness,biryani,"rice, spices, chicken",rice,reduced effectiveness,No alternative available
pravastatin,cholesterol control,dizziness,Hypertension,Senior,safe,eggs,hypertensive crisis,beer,"barley, hops, yeast",barley,hypertensive crisis,No alternative available
gliclazide,treatment of diabetes,stomach pain,Flu,Adult,dangerous,No allergens reported,additive stimulation,chole,"chickpeas, tomato, onion",chickpeas,additive stimulation,"Red Kidney Beans, Black Beans, Green Peas"
nitrofurantoin,urinary antiseptic,rashes,Fever,Adult,safe,sesame,no major risk,red wine,"grapes, yeast",grapes,no major risk,No alternative available
metronidazole,antibiotic,headache,Asthma,Adult,safe,No allergens reported,no major risk,kadhi,"turmeric, curd, gram flour",curd,no major risk,No alternative available
gliclazide,treatment of diabetes,stomach pain,Hypertension,Senior,safe,No allergens reported,additive stimulation,ramen,"noodles, soy sauce, onion",noodles,additive stimulation,"Brown Rice Noodles, Millet Pasta, Quinoa Pasta"
fexofenadine,anti-allergy,fatigue,Cold,Child,dangerous,No allergens reported,increases side effects,halwa,"semolina, ghee, sugar",semolina,increases side effects,"Brown Rice Kheer, Fruit Salad, Millet Halwa"
fexofenadine,anti-allergy,fatigue,Asthma,Adult,dangerous,No allergens reported,reduced absorption,rasmalai,"milk, sugar, saffron",milk,reduced absorption,No alternative available
fexofenadine,anti-allergy,fatigue,Hypertension,Senior,cautious,No allergens reported,reduced absorption,rasmalai,"milk, sugar, saffron",milk,reduced absorption,No alternative available
metronidazole,antibiotic,headache,Fever,Child,dangerous,No allergens reported,reduced absorption,rasmalai,"milk, sugar, saffron",milk,reduced absorption,No alternative available
pravastatin,cholesterol control,dizziness,Fever,Senior,safe,eggs,additive stimulation,ramen,"noodles, soy sauce, onion",noodles,additive stimulation,"Brown Rice Noodles, Millet Pasta, Quinoa Pasta"
magnesium supplements,treatment of kidney stone,tiredness,Cold,Child,cautious,No allergens reported,no major risk,kadhi,"turmeric, curd, gram flour",curd,no major risk,No alternative available
phenytoin,anti-seizure,diarrhea,Cold,Senior,dangerous,No allergens reported,reduced absorption,dark chocolate,"cocoa, sugar, milk",cocoa,reduced absorption,"Carob Bar, Milk Chocolate"
gliclazide,treatment of diabetes,stomach pain,Cold,Senior,safe,No allergens reported,no major risk,kadhi,"turmeric, curd, gram flour",curd,no major risk,No alternative available
fexofenadine,anti-allergy,fatigue,Flu,Adult,safe,No allergens reported,increases side effects,halwa,"semolina, ghee, sugar",semolina,increases side effects,"Brown Rice Kheer, Fruit Salad, Millet Halwa"
fexofenadine,anti-allergy,fatigue,Flu,Senior,cautious,No allergens reported,no major risk,red wine,"grapes, yeast",grapes,no major risk,No alternative available
nitrofurantoin,urinary antiseptic,rashes,Flu,Child,safe,sesame,additive stimulation,chole,"chickpeas, tomato, onion",chickpeas,additive stimulation,"Red Kidney Beans, Black Beans, Green Peas"
dabigatran,blood thinner,nausea,Asthma,Senior,dangerous,peanuts,reduced absorption,dark chocolate,"cocoa, sugar, milk",cocoa,reduced absorption,"Carob Bar, Milk Chocolate"
gliclazide,treatment of diabetes,stomach pain,Asthma,Adult,safe,No allergens reported,no major risk,kadhi,"turmeric, curd, gram flour",curd,no major risk,No alternative available
gliclazide,treatment of diabetes,stomach pain,Asthma,Adult,safe,No allergens reported,hypertensive crisis,beer,"barley, hops, yeast",barley,hypertensive crisis,No alternative available
metronidazole,antibiotic,headache,Fever,Adult,safe,No allergens reported,additive stimulation,ramen,"noodles, soy sauce, onion",noodles,additive stimulation,"Brown Rice Noodles, Millet Pasta, Quinoa Pasta"
gliclazide,treatment of diabetes,stomach pain,Asthma,Adult,dangerous,No allergens reported,no major risk,red wine,"grapes, yeast",grapes,no major risk,No alternative available
pravastatin,cholesterol control,dizziness,Fever,Child,dangerous,eggs,reduced effectiveness,biryani,"rice, spices, chicken",rice,reduced effectiveness,No alternative available
fexofenadine,anti-allergy,fatigue,Flu,Child,cautious,No allergens reported,no major risk,red wine,"grapes, yeast",grapes,no major risk,No alternative available
fexofenadine,anti-allergy,fatigue,Cold,Senior,dangerous,No allergens reported,reduced absorption,dark chocolate,"cocoa, sugar, milk",cocoa,reduced absorption,"Carob Bar, Milk Chocolate"
