condition,food,warning,explanation
hypertension,raw apple/apricot/avocado/banana/cantaloupe/cherries/fig/grapes/mango/pear/pineapple/,safe,raw apple/apricot/avocado/banana/cantaloupe/cherries/fig/grapes/mango/pear/pineapple/ may support balanced diet for hypertension.
cancer,garlic intake,safe,numerous animal and in vitro studies provided evidence for a relation between garlic intake and cancer risk reduction.
hypertension,cheese,can worsen,cheese with serving size 32.0g recorded in nhanes dietary data for hypertension and prediabetes patients.
osteoporosis,chicken meat,safe,proteins and peptides in chicken meat and bones are known for being rich in functional and nutritional ingredients for the improvement of osteoporosis.
chronic diseases,beer,safe,"in beer, the variety and concentration of bioactive compounds in the non-alcoholic fraction suggests that its consumption at moderate levels may not only be harmless but could also positively contribute to an improvement of certain physiological states and be also useful in the prevention of different chronic diseases."
prediabetes,biscuits,safe,biscuits may support balanced diet for prediabetes.
allergic reactions,rice,dangerous,allergen glb33 is an important allergen in rice that can cause allergic reactions such as asthma and atopic dermatitis.
bone disease,mediterranean diet,safe,mediterranean diet (md) has shown to prevent bone disease.
ra,gastrointestinal ( gi ) protective drugs,safe,patients with ra commonly use gastrointestinal (gi) protective drugs for treatment and prevention of drug-associated gi injuries.
hypertension,grapefruit/lemon/orange,can worsen,grapefruit/lemon/orange with serving size 236.0g recorded in nhanes dietary data for hypertension and prediabetes patients.
osteoporotic fractures,virgin olive oil,safe,"virgin olive oil, a key component of the mediterranean diet (mdiet), with recognised beneficial effects on metabolism and cardiovascular health, may decrease the risk of osteoporotic fractures."
neurodegenerative diseases,coffee,safe,"our findings strongly suggest that some foods, especially coffee, can act as a rich source of ãâãâãâãâ²-carbolines, which may possibly be associated with a reduced risk for serious neurodegenerative diseases, such as parkinson's and alzheimer's."
myocardial infarction,extra virgin olive oil,safe,"in this context, extra virgin olive oil (evoo), the most representative component of this diet, seems to be relevant in lowering the incidence of cardiovascular events, including myocardial infarction and stroke."
prediabetes,oil,safe,oil may support balanced diet for prediabetes.
allergy,cow's milk protein,dangerous,"cow's milk protein allergy, which occurs in approximately 5-10% of the population of infants and children, has become an important public food safety problem."
prediabetes,nuts,can worsen,nuts with serving size 28.4g recorded in nhanes dietary data for hypertension and prediabetes patients.
prediabetes,butter,dangerous,butter is high in fat/sugar and may worsen prediabetes.
skin inflammation,fish oil,safe,nutritional supplementation with fish oil or ãâãâãâãâ-3 (n-3) polyunsaturated fatty acids (pufas) has potential benefits for skin inflammation.
coronary heart diseases,excessive consumption of red meat,dangerous,excessive consumption of red meat is associated with various diseases including coronary heart diseases and cancer.
bladder cancer,tobacco,dangerous,tobacco smoking and occupational exposure to aromatic amines are the two major established environmental risk factors for bladder cancer.
cardiovascular diseases,black mulberry fruits,safe,black mulberry fruits are traditionally used in uyghur folk medicine for the prevention and treatment of cardiovascular diseases in southern xinjiang region of china.
cancer,sword bean,safe,"sword bean has been known as a traditional medicinal plant to treat cancer, sinus infection, and suppurative disease."
alzheimer's disease,caffeic acid,safe,"caffeic acid (ca) has shown neuroprotection in alzheimer's disease or cerebral ischaemia; however, it is unclear whether ca confers neuroprotection in ãâãâãâãâ±-synuclein-induced pd models."
allergy,fruits,dangerous,severe allergy to fruits mediated by a 7 kda allergen belonging to the gibberellin-regulated protein (grp) family is known to be associated with cupressaceae pollinosis.
dementia,nobiletin from citrus peels,safe,"previously, we identified nobiletin from citrus peels as a natural compound possessing anti-dementia activity."
cd,fish oil,safe,fish oil rich in eicosapentaenoic acid (epa) and docosahexaenoic acid (dha) reduces disease activity in patients with cd with raised laboratory markers of inflammation and in healthy subjects alters pbmc function.
prediabetes,salad dressing,can worsen,salad dressing with serving size 14.0g recorded in nhanes dietary data for hypertension and prediabetes patients.
colorectal cancer,garlic supplements,safe,"laboratory studies have provided evidence that allium vegetables and garlic supplements might protect against colorectal cancer (crc), but epidemiologic studies have produced inconsistent findings."
hypertension,salad dressing,can worsen,salad dressing with serving size 14.0g recorded in nhanes dietary data for hypertension and prediabetes patients.
neurodegenerative diseases,unbalanced diet,dangerous,"in the last decade, several theories investigating the causes of neurodegenerative diseases have been formulated and a condition or risk factor that can contribute is described by the gut-brain axis hypothesis: stress, unbalanced diet, and drugs impact altering microbiota composition which contributes to dysbiosis."
cardiometabolic diseases,dairy products,dangerous,dairy products contain both beneficial and harmful nutrients in relation to cardiometabolic diseases.
prediabetes,burrito/taco/enchilada/pizza/lasanga,can worsen,burrito/taco/enchilada/pizza/lasanga with serving size 198.0g recorded in nhanes dietary data for hypertension and prediabetes patients.
prediabetes,sugar/desserts,dangerous,sugar/desserts is high in fat/sugar and may worsen prediabetes.
murine collagen-induced arthritis,olive oil,safe,"hydroxytyrosol acetate (ht-ac), a polyphenolic compound in olive oil, exerts an anti-inflammatory effect on murine collagen-induced arthritis."
cancer,oolong tea,safe,"evidence regarding the health benefits of oolong tea consumption is accumulating, and tea polyphenols have various pharmacological properties such as anti-cancer and anti-diabetes effects."
hypertension,chicken/turkey,can worsen,chicken/turkey with serving size 110.0g recorded in nhanes dietary data for hypertension and prediabetes patients.
cardiovascular and neurodegenerative diseases,extra-virgin olive oil,safe,"the phenolic compounds of extra-virgin olive oil can act at various levels to protect individuals against cardiovascular and neurodegenerative diseases, cancer, and osteoporosis, among others."
asthma,cigarette smoke,dangerous,cigarette smoke and secondhand (passive) smoke have been causally related to asthma and lung cancer.
carcinogenic,ginger root,safe,"zingerone, a major component found in ginger root, has been known as anti-mutagenic and anti-carcinogenic activities that are often associated with its anti-oxidative and anti-inflammatory activities."
cognitive decline,red wine,safe,these effects have been related to the protection against cognitive decline associated with aging and disease by a number of polyphenols found in red wine and extra virgin olive oil.
asthma,high fructose corn syrup sweetened soft drink,dangerous,high fructose corn syrup (hfcs) sweetened soft drink intake has been linked with asthma in us high-schoolers.
prediabetes,coffee/soda drink/iced tea,can worsen,coffee/soda drink/iced tea with serving size 240.0g recorded in nhanes dietary data for hypertension and prediabetes patients.
urolithiasis,fruit,safe,"regarding food, intake of fruit correlated negatively with the incidence of urolithiasis (r = -0.721, p = 0.008), while intake of eggs (r = 0.537, p = 0.072) and sugar (r = 0.475, p = 0.119) tended to positively correlate with incidence."
prediabetes,cheese,safe,cheese may support balanced diet for prediabetes.
hypertension,egg omelet substitute,can worsen,egg omelet substitute with serving size 61.0g recorded in nhanes dietary data for hypertension and prediabetes patients.
hypoxia,brassica rapa,safe,"the tibetan turnip (brassica rapa l.) has a wide array of medicine properties including heat-clearing, detoxifying and anti-hypoxia as listed in the famous centuries-old tibetan medicine classic ""the four medical tantras""."
osteoporosis,salt,dangerous,"salt has notoriously been blamed for causing an increase in the urinary excretion of calcium, and thus is a considered a risk factor for osteoporosis."
prediabetes,bread,safe,bread may support balanced diet for prediabetes.
allergy,wheat flour,dangerous,occupational allergy to components of wheat flour is the main cause of rhinitis and asthma of workers in bakeries and similar activities.
asthma,less healthy diet,dangerous,"we observed a significant positive association between less healthy diet, as expressed by higher fsam-nps di, and the asthma symptom score."
g6pd) deficiency,blueberries,dangerous,"however, there is evidence in the literature stating that blueberries should be avoided in individuals with glucose-6-phosphate dehydrogenase (g6pd) deficiency."
prediabetes,egg omelet substitute,safe,egg omelet substitute may support balanced diet for prediabetes.
respiratory symptoms,ammonia,dangerous,"high endotoxin, ammonia, and dust levels contribute to acute and chronic respiratory symptoms in people who work in these settings."
ad,olive oil (,safe,a growing body of evidence including our studies supports a protective effect of oleocanthal (oc) and extra-virgin olive oil (evoo) at early ad stages before the onset of pathology.
hypertension,egg omelet,safe,egg omelet may support balanced diet for hypertension.
cancers,olive oil,safe,"traditional mediterranean diet (md) is associated by the low-prevalence of certain types of cancers and cvds, where olive oil plays an important role."
hypertension,salad dressing,safe,salad dressing is nutritious and may help manage hypertension.
toxicity,ascorbic acids,dangerous,"antioxidants such as phlorotannins, ascorbic acids, tocopherols, carotenoids from red algae showed toxicity on some cancer cells without side effects."
inflammation,mediterranean diet,safe,a mediterranean diet (medi) style has been reported as associated with a lower degree of inflammation biomarkers and with a protective role on cardiovascular and cerebrovascular events.
neural tube defects,fb1-contaminated corn,dangerous,a relationship between maternal ingestion of fb1-contaminated corn during early pregnancy and increased risk for neural tube defects (ntds) has recently been proposed in human populations around the world where corn is a dietary staple.
human diseases,extra-virgin olive oil,safe,"oleocanthal (olc) is a phenolic component of extra-virgin olive oil, recently supposed to be involved in the modulation of some human diseases, such as inflammation and alzheimer."
stroke,nuts,safe,a recent study confirmed the stroke preventive effect of a mediterranean diet rich in olive oil and nuts; a ketogenic diet reduces seizure frequency in epilepsy.
cardiovascular disease,peas,safe,"pulses, including peas, are a good source of protein, dietary fiber, folic acid, and iron and are reported to reduce the risk for cardiovascular disease and diabetes."
obesity,high-calorie diet,dangerous,a high-calorie diet (hcd) induces two mutually exacerbating effects contributing to diet-induced obesity (dio): impaired glucose metabolism and increased food consumption.
hypertension,grape seed proanthocyanidin extract (gspe),safe,the development of hypertension (htn) in cafeteria (caf) diet-fed rats was demonstrated to be attenuated after grape seed proanthocyanidin extract (gspe) administration.
hypertension,frozen meal (containing meat and vegetables),safe,frozen meal (containing meat and vegetables) is nutritious and may help manage hypertension.
diabetes,sfp,safe,"in short, this study demonstrated that sfp could be developed as functional foods or pharmaceutical supplements for the prevention or mitigation of diabetes and its complications."
asthma,saffron,safe,saffron has anti-inflammatory effects and may has beneficial effects on asthma.
dementia,allium hirtifolium boiss,safe,allium hirtifolium boiss and astragalus hamosus l. are mentioned in iranian traditional medicine documentation as therapy for a kind of dementia with the features and symptoms similar to those of alzheimer's disease (ad).
cardiovascular diseases,mediterranean diet,safe,the mediterranean diet has been associated with lower mortality and lower risk of cardiovascular diseases and cancer.
malnutrition,selective nutrition,safe,selective nutrition therapy for asd and brain function shows improvement in behavioral changes and reduction in malnutrition seemingly associated with the allergies or food intolerances to gluten.
atherosclerosis,milk,dangerous,milk is often seen as a potential promotor of atherosclerosis and coronary heart disease because it is a source of cholesterol and saturated fatty acids.
metabolic syndrome,coffee,safe,"further, waste products from tropical fruits including mangosteen rind, coffee pulp and spent coffee grounds provide further options to reduce metabolic syndrome."
hypoglycemic,trigonella foenum-graecum,dangerous,"trigonella foenum-graecum (fenugreek) has been reported to have hypoglycemic, hypocholesterolemic, hyperinsulinemic and anti-diabetic properties."
ad,rice,safe,components of the germ layer and bran of brown rice (br) help maintain good health and prevent ad.
type 2 diabetes mellitus,chickpea flour,safe,food supplementation with a fiber mix of guar gum and chickpea flour represents a promising approach to reduce the risk of type 2 diabetes mellitus (t2dm) by attenuating postprandial glycemia.
ra,experimental drug,safe,"as only 10% of experimental drug candidates for treatment of ra that enter phase i trials are eventually registered by the food and drug administration, there is an immediate need for translational tools to facilitate early decision-making in drug development."
osteoporosis,olive oil consumption,safe,rates of osteoporosis are significantly lower in regions of the world where olive oil consumption is a dietary cornerstone.
prediabetes,shakes/drink mixes,can worsen,shakes/drink mixes with serving size 166.0g recorded in nhanes dietary data for hypertension and prediabetes patients.
abdominal pain,welsh onion,safe,"allium fistulosum (welsh onion) is a traditional medicinal plant used for the treatment of colds, influenza, abdominal pain, headache, and heart disease."
cvd,cheese,safe,"in subgroup analysis, cheese and yogurt consumptions were associated with decreased cvd risk (or = 0.87, 95% ci = 0.80-0.94 for cheese and or = 0."
diabetic,sage,safe,salvia officinalis l. (sage) is a medicinal plant used as an ingredient in foods and beverages and displays a wide range of biological and pharmacological activities including anti-diabetic effects.
hyperlipidemia,ginger,safe,"ginger (zingiber officinale roscoe, zingiberaceae) has been documented to ameliorate hyperlipidemia, hyperglycemia, oxidative stress, and inflammation."
insulin resistance,cocoa plant,safe,"flavanoids in the cocoa plant may ameliorate insulin resistance by improving endothelial function, altering glucose metabolism, and reducing oxidative stress."
hypertension,potato,can worsen,potato with serving size 369.0g recorded in nhanes dietary data for hypertension and prediabetes patients.
prediabetes,"meat substitute, cereal- and vegetable protein-based, fried",can worsen,"meat substitute, cereal- and vegetable protein-based, fried with serving size 100.0g recorded in nhanes dietary data for hypertension and prediabetes patients."
hip fracture,milk,safe,"however, there is also evidence of a detrimental effect of milk on the risk of hip fracture."
gastrointestinal symptoms,gluten-free diet,safe,"new evidence shows that a gluten-free diet may be beneficial for some patients with gastrointestinal symptoms, such as those symptoms commonly found in patients with ibs."
diabetic,cocoa,safe,epidemiological and animal studies suggest that cocoa might reduce the risk of diabetic complications.
heart disease,almond,safe,"almond kernels contain phytochemicals with positive health effects in relation to heart disease, diabetes and obesity."
"cardiovascular, hepatic and gastric diseases",artichoke,safe,"cynara scolymus l. (common artichoke) and its products have been considered as potential phytotherapeutic agents for various conditions, such as cardiovascular, hepatic and gastric diseases, among others."
prediabetes,salad dressing,safe,salad dressing is nutritious and may help manage prediabetes.
prediabetes,beet greens/collards/cress/romaine/greens/spinach,safe,beet greens/collards/cress/romaine/greens/spinach may support balanced diet for prediabetes.
cancers,broccoli,safe,"brassica species, and broccoli in particular, are associated with reduced risk of several important cancers."
carcinogenic,olive oil,safe,"the beneficial effects of olive oil phenols attributed to a variety of biological activities including free radical scavenging/antioxidant actions, anti-inflammatory effects, anti-carcinogenic properties, and anti-microbial activities."
kidney stones,beer consumed,safe,"beer consumption was inversely associated with risk of kidney stones; each bottle of beer consumed per day was estimated to reduce risk by 40% (rr = 0.60, 95% ci 0.47-0.76)."
respiratory diseases,myrciaria cauliflora (jaboticaba),safe,"myrciaria cauliflora (jaboticaba) is an edible fruit common in brazil that has been used for treating respiratory diseases, including chronic tonsillitis and asthma."
ad,anti-inflammatory drugs,safe,"thus, anti-inflammatory drugs in this asymptomatic initial phase could slow down ad progression, provided they enter the brain."
malnutrition,unhealthy diet,dangerous,"many small island developing states of the caribbean experience a triple burden of malnutrition with high rates of obesity, undernutrition in children, and iron deficiency anemia in women of reproductive age, driven by an inadequate, unhealthy diet."
prediabetes,cereal,can worsen,cereal with serving size 55.0g recorded in nhanes dietary data for hypertension and prediabetes patients.
alzheimer's disease,mushrooms,safe,mushrooms have been reported in folklore for the management of alzheimer's disease (ad) and diabetes with limited scientific prove.
hypertension,processed foods,dangerous,increased consumption of processed foods in the modern world has contributed to a high salt intake and thus increased the prevalence of hypertension among malaysian populations.
"diabetic liver, kidney, eye, and neural system complications",ginger,safe,"ginger has shown prominent protective effects on diabetic liver, kidney, eye, and neural system complications."
arthritis,chicken eggshell membrane ( em ),safe,"it was hypothesized that chicken eggshell membrane (em) is effective in the regeneration of cartilage and/or immunomodulation (oral tolerance), and as such relieves pain and stiffness in joints commonly affected in arthritis."
human disease,yogurt,safe,the judicious use of milk and yogurt could prevent a high proportion of human disease.
cancer,garlic consumption,safe,"epidemeological as well as laboratory studies have shown that garlic consumption reduces certain cancer incidences in the stomach, colon, mammary, cervical, etc."
allergy,fig,dangerous,we describe the first case of fig allergy that occurred as a cross-reactivity between fig and derp 1.
neural tube defects,folic,safe,there is evidence that adequate amounts of folic acid supply to women before and during early pregnancy decreases the risk of having a neural tube defects affected child.
peripheral vascular disease,ginkgo biloba,safe,"the extract from ginkgo biloba leaves has become a very popular plant medicine and herbal supplement for its potential benefit in alleviating symptoms associated with peripheral vascular disease, dementia, asthma and tinnitus."
asthma,lamb,dangerous,"in china, lamb and fish are well-known triggers for an asthma attack."
immune disorders,essential oil,safe,"because magonlia flos was described as an aromatic material in ancient chinese texts, we hypothesized that its essential oil may be used to treat immune disorders."
obesity-related impairments,ginger,safe,"reports have shown that ginger and avocado induce antioxidant and anti-inflammatory effects by improving enzymatic activity and modulating obesity-related impairments in the anti-inflammatory system in different tissues, without side effects."
stroke,morus alba,safe,mulberry (morus alba l.) leaves are widely used as herbal tea to prevent heat stroke.
hypertension,crackers,safe,crackers may support balanced diet for hypertension.
infectious diseases,green tea,safe,"catechins, phytochemicals contained mainly in green tea, exhibit antiviral activity against various acute infectious diseases experimentally."
cardiovascular diseases,labiatae,safe,"use of labiatae as food or food additives (such as spices) may prevent risk of cardiovascular diseases, diabetes and cancer."
hypertension,egg omelet,can worsen,egg omelet with serving size 61.0g recorded in nhanes dietary data for hypertension and prediabetes patients.
cardiovascular disease,fruit consumption,safe,"in western populations, a higher level of fruit consumption has been associated with a lower risk of cardiovascular disease, but little is known about such associations in china, where the consumption level is low and rates of stroke are high."
hypertension,fruit juice,safe,fruit juice is nutritious and may help manage hypertension.
epilepsy,antiepileptic drugs,dangerous,adults aged 50 years and older with epilepsy face an increased risk of fracture associated both with age and with the use of antiepileptic drugs.
hypertension,sugar/desserts,can worsen,sugar/desserts with serving size 200.0g recorded in nhanes dietary data for hypertension and prediabetes patients.
prediabetes,pork,dangerous,pork is high in fat/sugar and may worsen prediabetes.
colorectal cancer,garlic,safe,garlic and its constituents are reported to have a preventive effect against colorectal cancer in animal models.
diabetes,3-hydroxyphenylpropionic acid,safe,"epicatechin (ec) and main colonic phenolic acids derived from flavonoid intake, such as 2,3-dihydroxybenzoic acid (dhba), 3,4-dihydroxyphenylacetic acid (dhpaa) and 3-hydroxyphenylpropionic acid (hppa), have been suggested to exert beneficial effects in diabetes."
insomnia,shenzao jiannao oral liquid (szjn),safe,"shenzao jiannao oral liquid (szjn), a traditional chinese preparation approved by the china food and drug administration (cfda), is used for the treatment of insomnia and mind fatigue at present for its efficacy of nourishing kidneys."
sarcopenia,cheese,safe,"the consumption of dairy products by older people may reduce the risk of frailty, especially with high consumption of low-fat milk and yogurt, and may also reduce the risk of sarcopenia by improving skeletal muscle mass through the addition of nutrient-rich dairy proteins (ricotta cheese) to the habitual diet."
hypertension,fruit,safe,"an increased consumption of vegetables and fruit reduces the risk of hypertension, coronary heart disease, stroke, and cancer."
hypertension,processed meats,dangerous,"however, liquid upf and processed meats were associated with increased rate of hypertension (irr: 1.32; 95%ci:1.10,1.65; irr: 1.17; 95%ci:1.01,1.36; respectively)."
cognitive impairment,beer,safe,"previously, we demonstrated that iso-ãâãâãâãâ±-acids, the hop-derived bitter components in beer, prevent cognitive impairment in an alzheimer's disease mouse model."
carcinogenesis,garlic,safe,"the health benefits of garlic, including inhibition of carcinogenesis, are supported by several epidemiologic and laboratory findings."
cancer,indian yellow curry,safe,"curcumin, a compound found in indian yellow curry, is known to possess various biological activities, including anti-oxidant, anti-inflammatory, and anti-cancer activities."
breast and colon cancers,extra-virgin olive oil,safe,"epidemiological and clinical studies compellingly documented the ability of mediterranean diet rich in extra-virgin olive oil (evoo) to reduce breast and colon cancers incidence, cardiovascular diseases, and aging cognitive functions decline."
diabetes,red wine,safe,"tea, red wine and cocoa are good sources of flavanols and these highly consumed foods might contribute to prevent diabetes."
glycemia,extra virgin olive oil,safe,"oleuropein, a component of extra virgin olive oil (evoo), reduces post-prandial glycemia with a mechanism counteracting oxidative stress-mediated incretin down-regulation."
micronutrient deficiencies,rice fortification,safe,rice fortification with vitamins and minerals has the potential to increase the nutrition in rice-consuming countries where micronutrient deficiencies exist.
hypertension,lamb/goat/veal/venison,safe,lamb/goat/veal/venison may support balanced diet for hypertension.
hypertension,oil,safe,oil may support balanced diet for hypertension.
prediabetes,cakes/cookies/pies,safe,cakes/cookies/pies may support balanced diet for prediabetes.
hypertension,raw apple/apricot/avocado/banana/cantaloupe/cherries/fig/grapes/mango/pear/pineapple/,can worsen,raw apple/apricot/avocado/banana/cantaloupe/cherries/fig/grapes/mango/pear/pineapple/ with serving size 182.0g recorded in nhanes dietary data for hypertension and prediabetes patients.
prediabetes,grapefruit/lemon/orange,safe,grapefruit/lemon/orange is nutritious and may help manage prediabetes.
asthma,honey-bee pollen mix (hbm),safe,"honey-bee pollen mix (hbm) formulation is claimed to be effective for the treatment of asthma, bronchitis, cancers, peptic ulcers, colitis, various types of infections including hepatitis b, and rheumatism by the herb dealers in northeast turkey."
stroke,folic acid,safe,"the csppt (china stroke primary prevention trial) demonstrated a significant risk reduction of first stroke in hypertensive patients treated with enalapril plus folic acid compared with those with enalapril alone, but the lifetime stroke-free survival associated with the treatment is unknown."
anaemia,micronutrient powders,safe,"home fortification with micronutrient powders (mnp) has been shown to reduce anaemia, with high overall acceptability and adherence, but there is limited evidence from west africa."
hypertension,stew (meat/rice/vegetable),safe,stew (meat/rice/vegetable) is nutritious and may help manage hypertension.
kidney stones,vegetables,safe,"available scientific evidence agrees on the harmful effects of high meat/animal protein intake and low calcium diets, whereas high content of fruits and vegetables associated with a balanced intake of low-fat dairy products carries the lowest risk for incident kidney stones."
pain,opioid drugs,safe,"opioid drugs are widely used to treat chronic pain, but their misuse can lead to tolerance, dependence, and addiction and have created a significant public health problem."
joint inflammatory diseases,extra virgin olive oil,safe,"recently, oleocanthal isolated from extra virgin olive oil was found to display nonsteroidal antiinflammatory drug activity similar to that of ibuprofen, a drug widely used in the therapeutic management of joint inflammatory diseases."
occupational respiratory allergies,wheat flour,dangerous,exposure to wheat flour and guar gum is a well-known cause of occupational respiratory allergies among workers in the food processing industry.
cardiovascular disease,increased olive oil consumption,safe,"increased olive oil consumption is implicated in a reduction in cardiovascular disease, rheumatoid arthritis, and, to a lesser extent, a variety of cancers."
moisture loss,"salt (sodium chloride, nacl)",dangerous,"salt (sodium chloride, nacl) is commonly used in ready-to-eat (rte) meat products such as biltong, a south african style dried beef product for flavor, enhanced moisture loss, and reduction of microbial growth."
nutritional reformulation,salt,dangerous,"among nutritional reformulation strategies, reductions in caloric density, salt, added sugar, saturated and trans-fats are important in order to reduce the associated risk of developing chronic diseases, including cardiovascular diseases, diabetes and cancer."
neurodegenerative diseases,fruits,safe,"epidemiological studies have shown that consumption of diets rich in antioxidant and anti-inflammatory agents, such as those found in fruits and vegetables, may lower the risk of developing age-related neurodegenerative diseases such as parkinson's disease and alzheimer's disease."
asthma,apple juice,dangerous,"intake of beverages with excess free fructose (eff), including apple juice, and hfcs sweetened fruit drinks and soft drinks, has been associated with asthma in children."
hypercholesterolemia,diet,dangerous,"hypercholesterolemia, also called high cholesterol, is a form of hyperlipidemia, which may be a consequence of diet, obesity or diabetes."
cognitive decline,olive oil,safe,"in the french three-city study, a ten-year follow-up (2000-2010) showed that higher consumption of olive oil was associated with lower risk of death, as well as protection from cognitive decline and stroke."
hypertension,pancakes/waffles,safe,pancakes/waffles may support balanced diet for hypertension.
hypertension,frozen meal (containing meat and vegetables),can worsen,frozen meal (containing meat and vegetables) with serving size 312.0g recorded in nhanes dietary data for hypertension and prediabetes patients.
baker's asthma,wheat,dangerous,"wheat is a potent allergen source and is one of the causes of baker's asthma, food and pollen allergy."
neurodegenerative diseases,licorice,safe,"extensive research over the last 10 years has indicated that nutraceuticals derived from such spices as turmeric, red pepper, black pepper, licorice, clove, ginger, garlic, coriander, and cinnamon target inflammatory pathways, thereby may prevent neurodegenerative diseases."
hypertension,salt,dangerous,"excessive salt intake is an important risk factor of diseases such as hypertension, stroke, and stomach cancer."
diet- associated health diseases,salt,dangerous,"in terms of nutrition, a diet high in fat (particularly saturated fat), salt and sugars have shown to be associated with innumerable incidence of diet- associated health diseases."
diabetes,leaves and fruits of rhus coriaria,safe,the leaves and fruits of rhus coriaria are traditionally used in turkey for the treatment of diabetes.
prediabetes,egg,safe,egg may support balanced diet for prediabetes.
allergic reactions,pistachio,dangerous,"pistachio and cashew nut, which belong to the same botanical family, are tree nuts that induce serious allergic reactions."
rheumatoid arthritis,curcuma longa,safe,curcuma longa (cl) or turmeric is an ayurvedic herb that has been traditionally used to treat inflammatory conditions like rheumatoid arthritis (ra).
prediabetes,puerto rican style food,can worsen,puerto rican style food with serving size 250.0g recorded in nhanes dietary data for hypertension and prediabetes patients.
caries,sugar,dangerous,"many diseases, including caries, chronic inflammatory diseases, diabetes, and obesity, are associated with uncontrolled sugar consumption."
cough,ginkgo biloba,safe,"ginkgo biloba has long been used in ancient china for the treatment of cough, asthma, and other lung diseases."
cvds,blueberry,safe,"moreover, substantial experimental studies have supported the protective role of fruits against cvds, and several fruits (grape, blueberry, pomegranate, apple, hawthorn, and avocado) have been widely studied and have shown potent cardiovascular protective action."
iron-deficiency anemia,iron fortifiers in diets,safe,"iron-deficiency anemia is an important health problem in global public issues, and development of iron fortifiers in diets is essential for the decrease of iron deficiency."
prediabetes,stew (meat/rice/vegetable),safe,stew (meat/rice/vegetable) is nutritious and may help manage prediabetes.
cognitive impairment,milk,safe,milk and other dairy products may contribute to the prevention of physical and cognitive impairment.
bone loss,milk,safe,milk and milk products prevent the bone loss in pre- and postmenopausal women.
bladder cancer,fruit,safe,"fruit and vegetable consumption was inversely related with bladder cancer in many studies, but no consistent association has emerged between intake of related micronutrients and reduced risk of bladder cancer."
inflammatory diseases,curcuma longa,safe,"the use of turmeric, derived from the root of the plant curcuma longa, for treatment of different inflammatory diseases has been described in ayurveda and in traditional chinese medicine for thousands of years."
osteoporosis,well-balanced diet,safe,"health claims describe the relation between a food substance and the risk of disease, e.g., ""adequate calcium and vitamin d throughout life, as part of a well-balanced diet, may reduce the risk of osteoporosis."
osteoporosis,sugar,dangerous,"however, the other ubiquitous white crystal, sugar, may lead to osteoporosis by increasing inflammation, hyperinsulinemia, increased renal acid load, reduced calcium intake, and increased urinary calcium excretion."
hypertension,whole milk,safe,"calcium, bioactive peptides and as yet unidentified components in whole milk may protect from hypertension, and folic acid, vitamin b6 (pyridoxine) and b12 (cyanocobalamin) or other unidentified components of skim milk may contribute to low homocysteine levels."
osteoporosis,gelatin hydrolysates,safe,osteoporosis is a common skeletal disorder in humans and gelatin hydrolysates from mammals have been reported to improve osteoporosis.
arterial hypertension,ultra-processed products ( up ),dangerous,"the consumption of ultra-processed products (up) is associated with many diseases in the adult, such as arterial hypertension, diabetes, or asthma."
prediabetes,oil,can worsen,oil with serving size 14.0g recorded in nhanes dietary data for hypertension and prediabetes patients.
stone recurrence in hypercalciuric renal stone formers,salt,safe,a diet based on a adequate intake of calcium (1000-1200 mg per day) and containment of animal protein and salt can decrease significantly urinary supersaturation for calcium oxalate and reduce the relative risk of stone recurrence in hypercalciuric renal stone formers.
hypertension,"meat substitute, cereal- and vegetable protein-based, fried",can worsen,"meat substitute, cereal- and vegetable protein-based, fried with serving size 100.0g recorded in nhanes dietary data for hypertension and prediabetes patients."
chronic disease,sodium consumption,dangerous,"however, population-level strategies to reduce sodium consumption, such as food product reformulation, modifying food procurement processes, and federal healthy eating policies, are important public health initiatives that can produce meaningful reductions in sodium consumption and help to prevent chronic disease in adulthood."
kidney stones,fruits,safe,various human studies have suggested that diets with a higher intake of vegetables and fruits play a role in the prevention of kidney stones.
diabetic,guava tea,safe,"polyphenols from coffee, guava tea, whortleberry, olive oil, propolis, chocolate, red wine, grape seed, and cocoa have been reported to show anti-diabetic effects in t2d patients through increasing glucose metabolism, improving vascular function as well as reducing insulin resistance and hba1c level."
cognitive decline,fruit,safe,"finally, the limited epidemiological evidence available on fruit and vegetable consumption and cognition generally supported a protective role of these macronutrients against cognitive decline, dementia, and ad."
inflammation,ginger,safe,ginger as an anti-oxidant and anti-inflammation can effect on these biomarkers.
allergic reactions,flour,dangerous,allergic reactions to wheat may be caused by ingestion of wheat containing foods or inhalation of flour (bakers asthma).
alzheimer's disease,fish oil,safe,long-term fish oil (fo) supplementation is able to improve alzheimer's disease (ad) pathology.
coronary heart disease,fruit,safe,fruit and vegetable (fv) intake is recommended for the prevention of coronary heart disease (chd).
hypertension,biscuits,safe,biscuits may support balanced diet for hypertension.
prediabetes,frozen meal (containing meat and vegetables),can worsen,frozen meal (containing meat and vegetables) with serving size 312.0g recorded in nhanes dietary data for hypertension and prediabetes patients.
hypertension,raw vegetables,safe,raw vegetables is nutritious and may help manage hypertension.
seizures,ketogenic diet,safe,the ketogenic diet is an effective alternative therapy used to control intractable seizures.
neural tube defects,folic acid,safe,"consumption of adequate amounts of folic acid by women before pregnancy and during early pregnancy decreases their risk for having a pregnancy affected by neural tube defects (ntds), the most common preventable type of birth defects worldwide."
