medicine,food,interaction,warning,explanation
phenytoin,rasam,safe,no major risk,Rasam with phenytoin generally poses no significant problem when consumed in moderation.
aspirin,bread,safe,no major risk,Bread with aspirin generally poses no significant problem when consumed in moderation.
clarithromycin,bitter gourd,safe,no major risk,Bitter gourd with clarithromycin generally poses no significant problem when consumed in moderation.
phenelzine,buttermilk,safe,no major risk,Buttermilk with phenelzine generally poses no significant problem when consumed in moderation.
ibuprofen,chole,safe,no major risk,Chole with ibuprofen generally poses no significant problem when consumed in moderation.
fexofenadine,apple juice,risky,reduced effectiveness,Apple juice can inhibit OATP transporters reducing fexofenadine levels.
cetirizine,milk,safe,no major risk,Milk with cetirizine generally poses no significant problem when consumed in moderation.
atenolol,alcohol,safe,no major risk,Alcohol with atenolol generally poses no significant problem when consumed in moderation.
losartan,momos,safe,no major risk,Momos with losartan generally poses no significant problem when consumed in moderation.
warfarin,kale,risky,reduces effectiveness,Kale is vitamin K–rich and may reduce anticoagulation by warfarin.
iron supplements,bitter gourd,safe,no major risk,Bitter gourd with iron supplements generally poses no significant problem when consumed in moderation.
ramipril,cranberry,safe,no major risk,Cranberry with ramipril generally poses no significant problem when consumed in moderation.
tranylcypromine,milk,safe,no major risk,Milk with tranylcypromine generally poses no significant problem when consumed in moderation.
paracetamol,white rice,safe,no major risk,White rice with paracetamol generally poses no significant problem when consumed in moderation.
diclofenac,sweet potato,safe,no major risk,Sweet potato with diclofenac generally poses no significant problem when consumed in moderation.
metronidazole,alcohol,dangerous,disulfiram-like reaction,"Alcohol with metronidazole can cause flushing, vomiting, and cramps."
rivaroxaban,ginger,safe,no major risk,Ginger with rivaroxaban generally poses no significant problem when consumed in moderation.
ketoconazole,ramen,safe,no major risk,Ramen with ketoconazole generally poses no significant problem when consumed in moderation.
cetirizine,gulab jamun,safe,no major risk,Gulab jamun with cetirizine generally poses no significant problem when consumed in moderation.
simvastatin,potato,safe,no major risk,Potato with simvastatin generally poses no significant problem when consumed in moderation.
calcium supplements,potato,safe,no major risk,Potato with calcium supplements generally poses no significant problem when consumed in moderation.
ibuprofen,quinoa,safe,no major risk,Quinoa with ibuprofen generally poses no significant problem when consumed in moderation.
fluconazole,leafy greens salad,safe,no major risk,Leafy greens salad with fluconazole generally poses no significant problem when consumed in moderation.
naproxen,cranberry,safe,no major risk,Cranberry with naproxen generally poses no significant problem when consumed in moderation.
phenytoin,bitter gourd,safe,no major risk,Bitter gourd with phenytoin generally poses no significant problem when consumed in moderation.
warfarin,pomegranate juice,safe,no major risk,Pomegranate juice with warfarin generally poses no significant problem when consumed in moderation.
fexofenadine,buttermilk,safe,no major risk,Buttermilk with fexofenadine generally poses no significant problem when consumed in moderation.
doxycycline,samosa,safe,no major risk,Samosa with doxycycline generally poses no significant problem when consumed in moderation.
apixaban,rajma,safe,no major risk,Rajma with apixaban generally poses no significant problem when consumed in moderation.
clopidogrel,licorice,safe,no major risk,Licorice with clopidogrel generally poses no significant problem when consumed in moderation.
diclofenac,sev,safe,no major risk,Sev with diclofenac generally poses no significant problem when consumed in moderation.
isocarboxazid,soy sauce,dangerous,hypertensive crisis,Tyramine in soy sauce can cause severe hypertension with MAOIs like isocarboxazid.
lithium,oats,safe,no major risk,Oats with lithium generally poses no significant problem when consumed in moderation.
fenofibrate,whole wheat roti,safe,no major risk,Whole wheat roti with fenofibrate generally poses no significant problem when consumed in moderation.
clarithromycin,momos,safe,no major risk,Momos with clarithromycin generally poses no significant problem when consumed in moderation.
heparin,fish curry,safe,no major risk,Fish curry with heparin generally poses no significant problem when consumed in moderation.
paracetamol,kimchi,safe,no major risk,Kimchi with paracetamol generally poses no significant problem when consumed in moderation.
phenytoin,oats,safe,no major risk,Oats with phenytoin generally poses no significant problem when consumed in moderation.
pantoprazole,paratha,safe,no major risk,Paratha with pantoprazole generally poses no significant problem when consumed in moderation.
lithium,rasgulla,safe,no major risk,Rasgulla with lithium generally poses no significant problem when consumed in moderation.
amoxicillin,kathi roll,safe,no major risk,Kathi roll with amoxicillin generally poses no significant problem when consumed in moderation.
fenofibrate,sweet potato,safe,no major risk,Sweet potato with fenofibrate generally poses no significant problem when consumed in moderation.
pravastatin,pickles,safe,no major risk,Pickles with pravastatin generally poses no significant problem when consumed in moderation.
tranylcypromine,veg biryani,safe,no major risk,Veg biryani with tranylcypromine generally poses no significant problem when consumed in moderation.
paracetamol,soy sauce,safe,no major risk,Soy sauce with paracetamol generally poses no significant problem when consumed in moderation.
phenytoin,alcohol,safe,no major risk,Alcohol with phenytoin generally poses no significant problem when consumed in moderation.
digoxin,carrot,safe,no major risk,Carrot with digoxin generally poses no significant problem when consumed in moderation.
theophylline,green tea,risky,additive stimulation,Caffeine plus theophylline may cause nervousness and palpitations.
atorvastatin,aged cheese,safe,no major risk,Aged cheese with atorvastatin generally poses no significant problem when consumed in moderation.
levetiracetam,kathi roll,safe,no major risk,Kathi roll with levetiracetam generally poses no significant problem when consumed in moderation.
pioglitazone,raisins,safe,no major risk,Raisins with pioglitazone generally poses no significant problem when consumed in moderation.
lithium,fish curry,safe,no major risk,Fish curry with lithium generally poses no significant problem when consumed in moderation.
gliclazide,apple juice,safe,no major risk,Apple juice with gliclazide generally poses no significant problem when consumed in moderation.
theophylline,energy drink,risky,additive stimulation,Caffeine plus theophylline may cause nervousness and palpitations.
ketoconazole,pomegranate juice,safe,no major risk,Pomegranate juice with ketoconazole generally poses no significant problem when consumed in moderation.
heparin,barfi,safe,no major risk,Barfi with heparin generally poses no significant problem when consumed in moderation.
carbamazepine,carrot,safe,no major risk,Carrot with carbamazepine generally poses no significant problem when consumed in moderation.
atenolol,cranberry,safe,no major risk,Cranberry with atenolol generally poses no significant problem when consumed in moderation.
simvastatin,bread,safe,no major risk,Bread with simvastatin generally poses no significant problem when consumed in moderation.
metformin,rasmalai,risky,raises blood sugar,High-sugar foods like rasmalai can worsen glucose control while on metformin.
atenolol,ramen,safe,no major risk,Ramen with atenolol generally poses no significant problem when consumed in moderation.
warfarin,kheer,safe,no major risk,Kheer with warfarin generally poses no significant problem when consumed in moderation.
isocarboxazid,jalebi,safe,no major risk,Jalebi with isocarboxazid generally poses no significant problem when consumed in moderation.
pantoprazole,dosa,safe,no major risk,Dosa with pantoprazole generally poses no significant problem when consumed in moderation.
gliclazide,butter chicken,safe,no major risk,Butter chicken with gliclazide generally poses no significant problem when consumed in moderation.
digoxin,paratha,safe,no major risk,Paratha with digoxin generally poses no significant problem when consumed in moderation.
itraconazole,potato,safe,no major risk,Potato with itraconazole generally poses no significant problem when consumed in moderation.
carbamazepine,rasgulla,safe,no major risk,Rasgulla with carbamazepine generally poses no significant problem when consumed in moderation.
clarithromycin,edamame,safe,no major risk,Edamame with clarithromycin generally poses no significant problem when consumed in moderation.
apixaban,halwa,safe,no major risk,Halwa with apixaban generally poses no significant problem when consumed in moderation.
esomeprazole,kachori,safe,no major risk,Kachori with esomeprazole generally poses no significant problem when consumed in moderation.
fluconazole,pasta,safe,no major risk,Pasta with fluconazole generally poses no significant problem when consumed in moderation.
clarithromycin,kimchi,safe,no major risk,Kimchi with clarithromycin generally poses no significant problem when consumed in moderation.
apixaban,paneer butter masala,safe,no major risk,Paneer butter masala with apixaban generally poses no significant problem when consumed in moderation.
gliclazide,naan,safe,no major risk,Naan with gliclazide generally poses no significant problem when consumed in moderation.
dabigatran,red wine,safe,no major risk,Red wine with dabigatran generally poses no significant problem when consumed in moderation.
bupropion,butter chicken,safe,no major risk,Butter chicken with bupropion generally poses no significant problem when consumed in moderation.
digoxin,milk,safe,no major risk,Milk with digoxin generally poses no significant problem when consumed in moderation.
pioglitazone,palak paneer,safe,no major risk,Palak paneer with pioglitazone generally poses no significant problem when consumed in moderation.
lithium,sev,safe,no major risk,Sev with lithium generally poses no significant problem when consumed in moderation.
amoxicillin,halwa,safe,no major risk,Halwa with amoxicillin generally poses no significant problem when consumed in moderation.
fexofenadine,soy sauce,safe,no major risk,Soy sauce with fexofenadine generally poses no significant problem when consumed in moderation.
cyclosporine,pomegranate juice,safe,no major risk,Pomegranate juice with cyclosporine generally poses no significant problem when consumed in moderation.
pantoprazole,mango,safe,no major risk,Mango with pantoprazole generally poses no significant problem when consumed in moderation.
atenolol,kachori,safe,no major risk,Kachori with atenolol generally poses no significant problem when consumed in moderation.
tetracycline,oats,safe,no major risk,Oats with tetracycline generally poses no significant problem when consumed in moderation.
lithium,brown rice,safe,no major risk,Brown rice with lithium generally poses no significant problem when consumed in moderation.
ramipril,kachori,safe,no major risk,Kachori with ramipril generally poses no significant problem when consumed in moderation.
spironolactone,banana,dangerous,hyperkalemia risk,Spironolactone is potassium-sparing; avoid large amounts of potassium-rich foods.
fluoxetine,aged cheese,safe,no major risk,Aged cheese with fluoxetine generally poses no significant problem when consumed in moderation.
heparin,garlic,safe,no major risk,Garlic with heparin generally poses no significant problem when consumed in moderation.
rivaroxaban,kheer,safe,no major risk,Kheer with rivaroxaban generally poses no significant problem when consumed in moderation.
sertraline,broccoli,safe,no major risk,Broccoli with sertraline generally poses no significant problem when consumed in moderation.
heparin,rasgulla,safe,no major risk,Rasgulla with heparin generally poses no significant problem when consumed in moderation.
pioglitazone,rasam,safe,no major risk,Rasam with pioglitazone generally poses no significant problem when consumed in moderation.
insulin,soy sauce,safe,no major risk,Soy sauce with insulin generally poses no significant problem when consumed in moderation.
levothyroxine,tomato,safe,no major risk,Tomato with levothyroxine generally poses no significant problem when consumed in moderation.
ketoconazole,amla,safe,no major risk,Amla with ketoconazole generally poses no significant problem when consumed in moderation.
tetracycline,tempeh,safe,no major risk,Tempeh with tetracycline generally poses no significant problem when consumed in moderation.
atenolol,butter chicken,safe,no major risk,Butter chicken with atenolol generally poses no significant problem when consumed in moderation.
tetracycline,carrot,safe,no major risk,Carrot with tetracycline generally poses no significant problem when consumed in moderation.
omeprazole,naan,safe,no major risk,Naan with omeprazole generally poses no significant problem when consumed in moderation.
iron supplements,coffee,risky,reduced absorption,Tannins in coffee can reduce iron absorption; separate by 1–2 hours.
venlafaxine,rasam,safe,no major risk,Rasam with venlafaxine generally poses no significant problem when consumed in moderation.
metformin,peda,risky,raises blood sugar,High-sugar foods like peda can worsen glucose control while on metformin.
ketoconazole,edamame,safe,no major risk,Edamame with ketoconazole generally poses no significant problem when consumed in moderation.
metformin,garlic,safe,no major risk,Garlic with metformin generally poses no significant problem when consumed in moderation.
naproxen,orange juice,safe,no major risk,Orange juice with naproxen generally poses no significant problem when consumed in moderation.
telmisartan,kimchi,safe,no major risk,Kimchi with telmisartan generally poses no significant problem when consumed in moderation.
esomeprazole,rasgulla,safe,no major risk,Rasgulla with esomeprazole generally poses no significant problem when consumed in moderation.
glimepiride,rasmalai,safe,no major risk,Rasmalai with glimepiride generally poses no significant problem when consumed in moderation.
phenytoin,biryani,safe,no major risk,Biryani with phenytoin generally poses no significant problem when consumed in moderation.
ibuprofen,cranberry,safe,no major risk,Cranberry with ibuprofen generally poses no significant problem when consumed in moderation.
losartan,avocado,risky,raises potassium,Avocado is potassium-rich; ARBs can raise serum potassium.
clopidogrel,sev,safe,no major risk,Sev with clopidogrel generally poses no significant problem when consumed in moderation.
heparin,black tea,safe,no major risk,Black tea with heparin generally poses no significant problem when consumed in moderation.
valproate,kathi roll,safe,no major risk,Kathi roll with valproate generally poses no significant problem when consumed in moderation.
loratadine,samosa,safe,no major risk,Samosa with loratadine generally poses no significant problem when consumed in moderation.
levothyroxine,soy sauce,risky,reduced absorption,Soy products can interfere with levothyroxine absorption.
metronidazole,soy sauce,safe,no major risk,Soy sauce with metronidazole generally poses no significant problem when consumed in moderation.
clopidogrel,samosa,safe,no major risk,Samosa with clopidogrel generally poses no significant problem when consumed in moderation.
glimepiride,chips,safe,no major risk,Chips with glimepiride generally poses no significant problem when consumed in moderation.
pioglitazone,bhujia,safe,no major risk,Bhujia with pioglitazone generally poses no significant problem when consumed in moderation.
iron supplements,kadhi,safe,no major risk,Kadhi with iron supplements generally poses no significant problem when consumed in moderation.
fluoxetine,garlic,safe,no major risk,Garlic with fluoxetine generally poses no significant problem when consumed in moderation.
sertraline,oats,safe,no major risk,Oats with sertraline generally poses no significant problem when consumed in moderation.
ciprofloxacin,pakora,safe,no major risk,Pakora with ciprofloxacin generally poses no significant problem when consumed in moderation.
venlafaxine,naan,safe,no major risk,Naan with venlafaxine generally poses no significant problem when consumed in moderation.
fexofenadine,naan,safe,no major risk,Naan with fexofenadine generally poses no significant problem when consumed in moderation.
insulin,yogurt,safe,no major risk,Yogurt with insulin generally poses no significant problem when consumed in moderation.
amitriptyline,khichdi,safe,no major risk,Khichdi with amitriptyline generally poses no significant problem when consumed in moderation.
metoprolol,paratha,safe,no major risk,Paratha with metoprolol generally poses no significant problem when consumed in moderation.
azithromycin,pomegranate juice,safe,no major risk,Pomegranate juice with azithromycin generally poses no significant problem when consumed in moderation.
metoprolol,curd rice,safe,no major risk,Curd rice with metoprolol generally poses no significant problem when consumed in moderation.
diclofenac,green tea,safe,no major risk,Green tea with diclofenac generally poses no significant problem when consumed in moderation.
magnesium supplements,multigrain roti,safe,no major risk,Multigrain roti with magnesium supplements generally poses no significant problem when consumed in moderation.
citalopram,amla,safe,no major risk,Amla with citalopram generally poses no significant problem when consumed in moderation.
omeprazole,dark chocolate,safe,no major risk,Dark chocolate with omeprazole generally poses no significant problem when consumed in moderation.
enoxaparin,carrot,safe,no major risk,Carrot with enoxaparin generally poses no significant problem when consumed in moderation.
pioglitazone,kachori,safe,no major risk,Kachori with pioglitazone generally poses no significant problem when consumed in moderation.
azithromycin,dal makhani,safe,no major risk,Dal makhani with azithromycin generally poses no significant problem when consumed in moderation.
diphenhydramine,apple juice,safe,no major risk,Apple juice with diphenhydramine generally poses no significant problem when consumed in moderation.
atorvastatin,sev,safe,no major risk,Sev with atorvastatin generally poses no significant problem when consumed in moderation.
clarithromycin,black tea,safe,no major risk,Black tea with clarithromycin generally poses no significant problem when consumed in moderation.
phenelzine,coconut water,safe,no major risk,Coconut water with phenelzine generally poses no significant problem when consumed in moderation.
pravastatin,black tea,safe,no major risk,Black tea with pravastatin generally poses no significant problem when consumed in moderation.
cyclosporine,papaya,safe,no major risk,Papaya with cyclosporine generally poses no significant problem when consumed in moderation.
heparin,ramen,safe,no major risk,Ramen with heparin generally poses no significant problem when consumed in moderation.
theophylline,avocado,safe,no major risk,Avocado with theophylline generally poses no significant problem when consumed in moderation.
telmisartan,licorice,safe,no major risk,Licorice with telmisartan generally poses no significant problem when consumed in moderation.
valproate,rasmalai,safe,no major risk,Rasmalai with valproate generally poses no significant problem when consumed in moderation.
ramipril,dates,risky,raises potassium,Dates is high in potassium; ACE inhibitors may increase hyperkalemia risk.
bupropion,papaya,safe,no major risk,Papaya with bupropion generally poses no significant problem when consumed in moderation.
venlafaxine,kale,safe,no major risk,Kale with venlafaxine generally poses no significant problem when consumed in moderation.
glimepiride,kheer,safe,no major risk,Kheer with glimepiride generally poses no significant problem when consumed in moderation.
warfarin,leafy greens salad,risky,reduces effectiveness,Leafy greens high in vitamin K can antagonize warfarin.
losartan,tofu,safe,no major risk,Tofu with losartan generally poses no significant problem when consumed in moderation.
ketoconazole,rajma,safe,no major risk,Rajma with ketoconazole generally poses no significant problem when consumed in moderation.
azithromycin,fish curry,safe,no major risk,Fish curry with azithromycin generally poses no significant problem when consumed in moderation.
amlodipine,energy drink,safe,no major risk,Energy drink with amlodipine generally poses no significant problem when consumed in moderation.
magnesium supplements,ramen,safe,no major risk,Ramen with magnesium supplements generally poses no significant problem when consumed in moderation.
azithromycin,potato,safe,no major risk,Potato with azithromycin generally poses no significant problem when consumed in moderation.
doxycycline,edamame,safe,no major risk,Edamame with doxycycline generally poses no significant problem when consumed in moderation.
amitriptyline,ramen,safe,no major risk,Ramen with amitriptyline generally poses no significant problem when consumed in moderation.
fexofenadine,rasmalai,safe,no major risk,Rasmalai with fexofenadine generally poses no significant problem when consumed in moderation.
doxycycline,sauerkraut,safe,no major risk,Sauerkraut with doxycycline generally poses no significant problem when consumed in moderation.
nitrofurantoin,tempeh,safe,no major risk,Tempeh with nitrofurantoin generally poses no significant problem when consumed in moderation.
telmisartan,potato,risky,raises potassium,Potato is potassium-rich; ARBs can raise serum potassium.
cyclosporine,oats,safe,no major risk,Oats with cyclosporine generally poses no significant problem when consumed in moderation.
iron supplements,momos,safe,no major risk,Momos with iron supplements generally poses no significant problem when consumed in moderation.
levetiracetam,tomato,safe,no major risk,Tomato with levetiracetam generally poses no significant problem when consumed in moderation.
simvastatin,rasgulla,safe,no major risk,Rasgulla with simvastatin generally poses no significant problem when consumed in moderation.
loratadine,rasam,safe,no major risk,Rasam with loratadine generally poses no significant problem when consumed in moderation.
levothyroxine,beetroot,safe,no major risk,Beetroot with levothyroxine generally poses no significant problem when consumed in moderation.
iron supplements,black tea,risky,reduced absorption,Tannins in black tea can reduce iron absorption; separate by 1–2 hours.
tacrolimus,spinach soup,safe,no major risk,Spinach soup with tacrolimus generally poses no significant problem when consumed in moderation.
esomeprazole,beetroot,safe,no major risk,Beetroot with esomeprazole generally poses no significant problem when consumed in moderation.
simvastatin,paneer butter masala,safe,no major risk,Paneer butter masala with simvastatin generally poses no significant problem when consumed in moderation.
sitagliptin,rasam,safe,no major risk,Rasam with sitagliptin generally poses no significant problem when consumed in moderation.
calcium supplements,dark chocolate,safe,no major risk,Dark chocolate with calcium supplements generally poses no significant problem when consumed in moderation.
fluconazole,sweet potato,safe,no major risk,Sweet potato with fluconazole generally poses no significant problem when consumed in moderation.
gliclazide,amla,safe,no major risk,Amla with gliclazide generally poses no significant problem when consumed in moderation.
sitagliptin,bread,safe,no major risk,Bread with sitagliptin generally poses no significant problem when consumed in moderation.
pantoprazole,cranberry,safe,no major risk,Cranberry with pantoprazole generally poses no significant problem when consumed in moderation.
atorvastatin,grapefruit juice,risky,increases side effects,Grapefruit can raise atorvastatin concentration; monitor for myopathy.
amitriptyline,soy sauce,safe,no major risk,Soy sauce with amitriptyline generally poses no significant problem when consumed in moderation.
atorvastatin,mysore pak,safe,no major risk,Mysore pak with atorvastatin generally poses no significant problem when consumed in moderation.
simvastatin,ice cream,safe,no major risk,Ice cream with simvastatin generally poses no significant problem when consumed in moderation.
iron supplements,spinach,safe,no major risk,Spinach with iron supplements generally poses no significant problem when consumed in moderation.
omeprazole,biryani,safe,no major risk,Biryani with omeprazole generally poses no significant problem when consumed in moderation.
esomeprazole,kale,safe,no major risk,Kale with esomeprazole generally poses no significant problem when consumed in moderation.
rivaroxaban,upma,safe,no major risk,Upma with rivaroxaban generally poses no significant problem when consumed in moderation.
enoxaparin,jalebi,safe,no major risk,Jalebi with enoxaparin generally poses no significant problem when consumed in moderation.
enoxaparin,barfi,safe,no major risk,Barfi with enoxaparin generally poses no significant problem when consumed in moderation.
phenelzine,gulab jamun,safe,no major risk,Gulab jamun with phenelzine generally poses no significant problem when consumed in moderation.
amlodipine,broccoli,safe,no major risk,Broccoli with amlodipine generally poses no significant problem when consumed in moderation.
theophylline,paneer butter masala,safe,no major risk,Paneer butter masala with theophylline generally poses no significant problem when consumed in moderation.
atenolol,dried apricots,safe,no major risk,Dried apricots with atenolol generally poses no significant problem when consumed in moderation.
pravastatin,kathi roll,safe,no major risk,Kathi roll with pravastatin generally poses no significant problem when consumed in moderation.
fenofibrate,orange juice,safe,no major risk,Orange juice with fenofibrate generally poses no significant problem when consumed in moderation.
cyclosporine,tonic water,safe,no major risk,Tonic water with cyclosporine generally poses no significant problem when consumed in moderation.
amitriptyline,pomegranate juice,safe,no major risk,Pomegranate juice with amitriptyline generally poses no significant problem when consumed in moderation.
sitagliptin,bitter gourd,safe,no major risk,Bitter gourd with sitagliptin generally poses no significant problem when consumed in moderation.
pioglitazone,leafy greens salad,safe,no major risk,Leafy greens salad with pioglitazone generally poses no significant problem when consumed in moderation.
phenytoin,poha,safe,no major risk,Poha with phenytoin generally poses no significant problem when consumed in moderation.
dabigatran,spinach soup,safe,no major risk,Spinach soup with dabigatran generally poses no significant problem when consumed in moderation.
amitriptyline,dates,safe,no major risk,Dates with amitriptyline generally poses no significant problem when consumed in moderation.
insulin,orange juice,safe,no major risk,Orange juice with insulin generally poses no significant problem when consumed in moderation.
pravastatin,biryani,safe,no major risk,Biryani with pravastatin generally poses no significant problem when consumed in moderation.
metronidazole,green tea,safe,no major risk,Green tea with metronidazole generally poses no significant problem when consumed in moderation.
itraconazole,raisins,safe,no major risk,Raisins with itraconazole generally poses no significant problem when consumed in moderation.
amlodipine,st johns wort,safe,no major risk,St johns wort with amlodipine generally poses no significant problem when consumed in moderation.
paracetamol,sev,safe,no major risk,Sev with paracetamol generally poses no significant problem when consumed in moderation.
sertraline,chips,safe,no major risk,Chips with sertraline generally poses no significant problem when consumed in moderation.
tranylcypromine,chole,safe,no major risk,Chole with tranylcypromine generally poses no significant problem when consumed in moderation.
amlodipine,green tea,safe,no major risk,Green tea with amlodipine generally poses no significant problem when consumed in moderation.
citalopram,mysore pak,safe,no major risk,Mysore pak with citalopram generally poses no significant problem when consumed in moderation.
ciprofloxacin,biryani,safe,no major risk,Biryani with ciprofloxacin generally poses no significant problem when consumed in moderation.
ibuprofen,pakora,risky,stomach irritation,Pakora with ibuprofen may increase gastric irritation or bleeding risk.
fexofenadine,pakora,safe,no major risk,Pakora with fexofenadine generally poses no significant problem when consumed in moderation.
metronidazole,idli,safe,no major risk,Idli with metronidazole generally poses no significant problem when consumed in moderation.
ciprofloxacin,sambar,safe,no major risk,Sambar with ciprofloxacin generally poses no significant problem when consumed in moderation.
fenofibrate,dark chocolate,safe,no major risk,Dark chocolate with fenofibrate generally poses no significant problem when consumed in moderation.
iron supplements,spring rolls,safe,no major risk,Spring rolls with iron supplements generally poses no significant problem when consumed in moderation.
carbamazepine,sev,safe,no major risk,Sev with carbamazepine generally poses no significant problem when consumed in moderation.
apixaban,garlic,safe,no major risk,Garlic with apixaban generally poses no significant problem when consumed in moderation.
calcium supplements,tonic water,safe,no major risk,Tonic water with calcium supplements generally poses no significant problem when consumed in moderation.
sitagliptin,whole wheat roti,safe,no major risk,Whole wheat roti with sitagliptin generally poses no significant problem when consumed in moderation.
fexofenadine,peda,safe,no major risk,Peda with fexofenadine generally poses no significant problem when consumed in moderation.
ibuprofen,jalebi,safe,no major risk,Jalebi with ibuprofen generally poses no significant problem when consumed in moderation.
phenelzine,ginger,safe,no major risk,Ginger with phenelzine generally poses no significant problem when consumed in moderation.
sitagliptin,kheer,safe,no major risk,Kheer with sitagliptin generally poses no significant problem when consumed in moderation.
valproate,barfi,safe,no major risk,Barfi with valproate generally poses no significant problem when consumed in moderation.
atorvastatin,pakora,safe,no major risk,Pakora with atorvastatin generally poses no significant problem when consumed in moderation.
phenytoin,dal makhani,safe,no major risk,Dal makhani with phenytoin generally poses no significant problem when consumed in moderation.
diclofenac,red wine,risky,stomach irritation,Red wine with diclofenac may increase gastric irritation or bleeding risk.
calcium supplements,coconut water,safe,no major risk,Coconut water with calcium supplements generally poses no significant problem when consumed in moderation.
atenolol,licorice,safe,no major risk,Licorice with atenolol generally poses no significant problem when consumed in moderation.
simvastatin,spring rolls,safe,no major risk,Spring rolls with simvastatin generally poses no significant problem when consumed in moderation.
gliclazide,ginger,safe,no major risk,Ginger with gliclazide generally poses no significant problem when consumed in moderation.
doxycycline,aged cheese,safe,no major risk,Aged cheese with doxycycline generally poses no significant problem when consumed in moderation.
calcium supplements,paratha,safe,no major risk,Paratha with calcium supplements generally poses no significant problem when consumed in moderation.
ibuprofen,khichdi,safe,no major risk,Khichdi with ibuprofen generally poses no significant problem when consumed in moderation.
diclofenac,bread,safe,no major risk,Bread with diclofenac generally poses no significant problem when consumed in moderation.
magnesium supplements,sweet potato,safe,no major risk,Sweet potato with magnesium supplements generally poses no significant problem when consumed in moderation.
simvastatin,mango,safe,no major risk,Mango with simvastatin generally poses no significant problem when consumed in moderation.
tacrolimus,broccoli,safe,no major risk,Broccoli with tacrolimus generally poses no significant problem when consumed in moderation.
pravastatin,buttermilk,safe,no major risk,Buttermilk with pravastatin generally poses no significant problem when consumed in moderation.
azithromycin,whole wheat roti,safe,no major risk,Whole wheat roti with azithromycin generally poses no significant problem when consumed in moderation.
fluconazole,quinoa,safe,no major risk,Quinoa with fluconazole generally poses no significant problem when consumed in moderation.
theophylline,pasta,safe,no major risk,Pasta with theophylline generally poses no significant problem when consumed in moderation.
loratadine,ghee,safe,no major risk,Ghee with loratadine generally poses no significant problem when consumed in moderation.
dabigatran,mysore pak,safe,no major risk,Mysore pak with dabigatran generally poses no significant problem when consumed in moderation.
esomeprazole,whole wheat roti,safe,no major risk,Whole wheat roti with esomeprazole generally poses no significant problem when consumed in moderation.
gliclazide,pulao,safe,no major risk,Pulao with gliclazide generally poses no significant problem when consumed in moderation.
losartan,bread,safe,no major risk,Bread with losartan generally poses no significant problem when consumed in moderation.
omeprazole,grapes,safe,no major risk,Grapes with omeprazole generally poses no significant problem when consumed in moderation.
clarithromycin,tofu,safe,no major risk,Tofu with clarithromycin generally poses no significant problem when consumed in moderation.
tetracycline,coffee,safe,no major risk,Coffee with tetracycline generally poses no significant problem when consumed in moderation.
sertraline,beetroot,safe,no major risk,Beetroot with sertraline generally poses no significant problem when consumed in moderation.
digoxin,cranberry,safe,no major risk,Cranberry with digoxin generally poses no significant problem when consumed in moderation.
telmisartan,kheer,safe,no major risk,Kheer with telmisartan generally poses no significant problem when consumed in moderation.
iron supplements,barfi,safe,no major risk,Barfi with iron supplements generally poses no significant problem when consumed in moderation.
fenofibrate,naan,safe,no major risk,Naan with fenofibrate generally poses no significant problem when consumed in moderation.
valproate,samosa,safe,no major risk,Samosa with valproate generally poses no significant problem when consumed in moderation.
nitrofurantoin,avocado,safe,no major risk,Avocado with nitrofurantoin generally poses no significant problem when consumed in moderation.
warfarin,kadhi,safe,no major risk,Kadhi with warfarin generally poses no significant problem when consumed in moderation.
rivaroxaban,peda,safe,no major risk,Peda with rivaroxaban generally poses no significant problem when consumed in moderation.
ciprofloxacin,upma,safe,no major risk,Upma with ciprofloxacin generally poses no significant problem when consumed in moderation.
sertraline,dates,safe,no major risk,Dates with sertraline generally poses no significant problem when consumed in moderation.
venlafaxine,tonic water,safe,no major risk,Tonic water with venlafaxine generally poses no significant problem when consumed in moderation.
itraconazole,beer,safe,no major risk,Beer with itraconazole generally poses no significant problem when consumed in moderation.
aspirin,papaya,safe,no major risk,Papaya with aspirin generally poses no significant problem when consumed in moderation.
bupropion,khichdi,safe,no major risk,Khichdi with bupropion generally poses no significant problem when consumed in moderation.
diphenhydramine,leafy greens salad,safe,no major risk,Leafy greens salad with diphenhydramine generally poses no significant problem when consumed in moderation.
apixaban,biryani,safe,no major risk,Biryani with apixaban generally poses no significant problem when consumed in moderation.
isocarboxazid,halwa,safe,no major risk,Halwa with isocarboxazid generally poses no significant problem when consumed in moderation.
rosuvastatin,mutton curry,safe,no major risk,Mutton curry with rosuvastatin generally poses no significant problem when consumed in moderation.
rivaroxaban,energy drink,safe,no major risk,Energy drink with rivaroxaban generally poses no significant problem when consumed in moderation.
warfarin,broccoli,risky,reduces effectiveness,Broccoli is rich in vitamin K which may reduce the anticoagulant effect of warfarin.
magnesium supplements,spinach soup,safe,no major risk,Spinach soup with magnesium supplements generally poses no significant problem when consumed in moderation.
carbamazepine,spinach,safe,no major risk,Spinach with carbamazepine generally poses no significant problem when consumed in moderation.
tranylcypromine,sauerkraut,dangerous,hypertensive crisis,Tyramine in sauerkraut can cause severe hypertension with MAOIs like tranylcypromine.
pravastatin,sev,safe,no major risk,Sev with pravastatin generally poses no significant problem when consumed in moderation.
pioglitazone,carrot,safe,no major risk,Carrot with pioglitazone generally poses no significant problem when consumed in moderation.
